"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"TREM1",15,0,27,13,1427,10,534,3966,14,900,4,11,1055,2,559,11,22,2,52,3,16,220,6,213,2,216,11,3,28,1,23,19,241,11,0,420,5,27,4,968,9,11,1073,1,8,4,4,11,1,0,0,1,25,655,2,2,4,1,203,462,309,13,9,6,38,54,228,49
"TREML3P",0,0,0,1,10,0,5,46,0,11,0,0,50,0,21,0,0,0,6,0,0,1,0,2,0,1,1,1,1,0,1,0,3,0,0,14,0,3,0,27,0,0,22,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,9,4,10,0,0,0,0,0,2,0
"UBD",64,0,2,0,67,52,46,116,25,106,2,5,292,2,35,19,2,7,9,2,39,0,8,13,1,121,12,3,40,0,7,9,55,53,2,50,27,45,7,72,3,51,120,8,16,30,6,9,2,0,4,3,18,194,13,6,3,27,18,52,87,67,5,3,23,68,70,24
"VNN3",14,1,2,0,181,1,76,237,1,159,2,0,154,1,142,1,4,2,19,1,7,1,1,80,1,167,3,3,16,0,4,24,47,1,1,156,3,46,1,134,2,16,53,2,2,0,0,4,0,4,0,1,0,68,0,1,2,0,35,57,168,5,5,0,3,28,45,5
"VSIG1",10,8,23,123,426,17,95,143,17,427,9,12,79,3,1887,8,13,10,84,6,21,0,3,528,1,561,8,17,20,5,6,10,81,11,12,494,7,34,8,977,8,38,258,16,38,17,9,31,2,10,22,16,10,583,14,16,9,9,498,677,187,37,5,15,32,40,338,23
"VTCN1",0,0,0,0,14,0,2,5,0,24,0,0,0,0,115,3,1,0,0,1,2,0,0,3,0,2,0,1,0,1,0,0,2,0,0,13,0,1,0,39,1,1,10,0,0,0,5,1,1,1,1,0,0,5,1,1,0,1,46,11,0,0,0,0,1,0,2,0
"WFDC12",16,6,2,11,11,1,13,10,14,55,7,3,0,11,91,15,3,2,26,3,4,0,9,42,6,27,8,4,4,4,10,2,76,2,3,53,1,28,4,82,0,5,7,3,5,3,3,7,0,2,6,6,5,7,5,0,1,2,30,55,33,1,0,5,1,21,33,7
"WFDC5",3,1,0,0,2,2,2,2,0,10,0,0,0,1,24,3,0,2,2,0,1,0,2,6,1,5,0,1,0,1,1,2,11,0,0,3,1,1,0,20,0,2,0,0,0,0,0,5,2,0,0,0,1,1,1,0,0,0,4,3,1,0,0,0,0,3,1,0
"WISP1",86,3,75,12,567,68,100,3328,41,356,8,15,1693,0,85,23,22,25,67,18,51,7,9,125,2,183,6,27,108,9,14,11,19,7,12,479,13,57,13,346,12,35,1245,22,36,7,1,43,4,4,7,3,14,1083,25,18,9,11,154,487,205,64,6,19,52,149,360,13
"WISP3",26,1,2,10,49,2,1,5,0,5,0,1,1,1,4,3,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,2,2,2,1,3
"WNT2",10,0,2,0,36,2,47,1643,14,46,0,1,1104,0,17,3,4,2,6,0,2,0,0,13,0,30,0,0,9,1,0,1,8,0,0,45,0,3,0,92,3,10,154,1,6,0,1,4,0,0,1,0,2,71,1,3,0,0,28,68,14,7,1,2,1,31,34,2
"XIRP1",0,1,13,0,31,1,8,28,2,14,0,1,86,4,13,1,6,4,2,2,1,3,1,15,1,10,1,3,0,2,0,0,4,3,1,16,0,1,0,4,0,3,229,1,3,0,0,0,0,3,0,0,1,27,0,0,0,0,1,40,19,5,1,0,2,5,13,2
"ZC3H12A",2815,1379,373,1146,3742,1320,8201,3841,2047,6346,381,1219,3226,1292,15812,1532,700,602,3166,956,1212,6,1145,7345,1359,4687,2238,779,2761,516,2991,1101,8369,615,631,11414,734,3410,529,9161,340,1146,2999,478,882,620,136,1071,278,318,408,263,947,2654,574,443,425,735,5206,5628,8816,687,430,467,841,2661,4671,572
"ABCG5",6,4,29,10,63,15,6,23,5,6,3,8,0,2,10,0,4,4,2,2,0,0,0,2,0,2,1,3,1,3,2,0,1,2,2,5,1,2,1,3,0,0,26,0,0,0,3,1,0,2,0,1,1,6,2,1,7,0,6,46,1,1322,0,2,1,43,10,29
"AC005235.1",0,2,0,6,0,1,0,0,6,0,6,5,0,3,0,6,4,4,1,5,7,0,16,1,1,1,3,4,8,2,0,1,1,14,1,0,2,3,10,0,4,1,0,3,4,5,9,5,0,9,8,4,5,0,0,4,5,6,1,0,1,0,2,7,7,3,1,2
"AC005262.3",1,0,0,0,2,1,5,5,2,1,0,0,1,0,11,1,0,1,3,0,0,0,0,6,0,2,0,1,0,1,1,1,2,0,0,4,0,0,0,10,0,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,2,1,0
"AC007952.5",3,0,0,0,3,7,2,3,0,3,1,0,0,1,4,0,0,1,0,0,1,0,0,1,0,8,0,0,0,0,1,0,1,0,1,7,0,6,0,4,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,5,0,0,0,0,1,1,4,0
"AC009110.1",0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,0,1,2,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,2,0,5,0,6,5,0,0,6,3,0,5,5,5,9,6,0,0,3,1,7,0,0,0,0,0,0,24,4,0,0,6
"AC009950.2",2,1,4,7,17,7,6,2,4,1,1,4,0,1,10,2,0,1,1,3,5,0,2,4,4,6,0,1,8,2,1,10,8,1,2,2,3,3,5,10,5,0,16,0,6,0,0,2,0,3,1,0,8,2,0,0,0,3,7,7,29,0,3,7,2,3,46,3
"AC012456.4",1,1,0,1,5,4,3,5,1,11,1,0,0,0,2,1,1,0,3,2,2,0,0,1,0,1,0,1,0,0,0,1,2,0,0,3,0,2,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,8,1,0,0,0,1,2,5,0,0,0,1,0,5,0
