"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"CCL20",4503,1705,284,1567,1651,354,8249,1343,3467,5850,861,3086,242,2554,20752,3162,1219,1296,1612,2604,4088,20,697,13283,440,12711,7712,1332,7693,312,7855,3441,24110,2143,1665,6525,1223,3734,441,10339,409,2029,1280,2046,3950,1009,554,2255,428,84,578,604,2435,1436,1330,621,661,5272,2428,7755,11863,1174,764,886,2046,4057,4342,1469
"CCL7",16,0,23,4,59,35,11,191,0,47,2,5,54,1,12,9,8,15,30,22,16,0,12,31,3,2,0,24,1,10,5,0,2,2,21,12,2,4,14,13,8,8,123,3,8,2,5,3,0,4,4,0,7,38,1,3,1,0,28,17,72,1,0,12,12,47,45,14
"CCR3",62,4,60,14,243,233,35,121,19,276,22,6,80,5,64,14,1,21,88,45,4,0,2,97,6,24,3,45,26,25,21,10,47,65,7,60,23,23,37,89,52,10,110,40,10,7,2,13,2,0,3,10,19,76,11,6,18,8,96,302,142,41,18,12,31,147,40,96
"CCR8",39,1,9,11,23,46,41,64,8,108,4,4,142,2,11,13,17,4,19,6,21,0,6,45,4,63,8,6,14,3,10,1,18,5,7,23,15,35,10,42,2,45,53,1,6,11,6,41,1,2,9,3,12,82,5,9,13,11,24,136,64,15,3,10,9,41,93,7
"CD164L2",21,2,7,9,2,21,16,9,16,13,1,5,5,26,51,7,5,3,6,4,10,0,7,14,3,17,4,9,7,6,4,8,128,4,4,19,1,33,4,0,6,6,16,1,3,1,3,10,2,1,4,3,4,9,4,1,3,9,9,17,3,0,3,0,3,23,44,9
"CD1B",21,2,31,0,13,17,36,36,15,50,6,5,45,0,22,22,0,7,67,2,41,0,12,60,0,80,3,11,10,2,2,8,15,10,5,60,4,41,3,64,10,96,139,24,15,10,6,14,0,0,8,1,3,38,11,3,4,6,51,271,31,12,1,5,36,41,75,9
"CD55",3932,898,2999,5634,16815,4499,13968,13395,4316,13085,1044,2425,3614,2429,37100,2368,2321,1630,7735,1085,2342,14,1598,11528,2129,21278,1447,1791,2916,1058,1950,1203,24720,1485,841,32115,1094,2792,1465,26607,970,1674,22585,1561,1867,1657,1438,2455,774,1249,1321,839,1449,8819,769,1186,1017,1112,12691,21831,12836,3257,1424,2126,1855,5332,19100,1561
"CD5L",0,1,0,0,4,1,4,13,0,0,1,6,1,0,0,3,1,0,4,0,0,0,2,0,0,10,1,2,0,3,1,1,0,2,0,70,0,0,1,0,1,0,5,1,2,2,0,0,0,1,1,1,0,1,3,0,0,0,0,6,0,0,0,0,2,39,147,0
"CD70",10,1,8,8,152,48,19,73,5,37,8,10,116,9,32,9,7,4,4,1,12,0,2,7,2,6,2,5,18,4,3,7,8,4,2,15,2,13,2,23,5,19,59,5,7,4,0,23,1,5,14,5,3,30,8,14,4,9,24,34,11,9,3,3,2,17,26,4
"CD80",104,10,33,14,357,39,236,855,67,289,15,29,833,8,83,59,61,39,74,19,110,0,39,106,12,215,18,35,92,34,11,113,111,27,20,236,18,131,31,351,27,152,338,33,70,54,30,70,8,23,27,36,42,289,43,25,18,12,121,246,178,100,7,54,104,180,313,51
"CDH12",0,0,0,1,1,0,0,0,5,0,0,7,1,0,2,0,4,13,2,2,0,0,4,2,3,1,0,0,0,6,0,4,0,2,0,0,3,0,5,0,1,1,0,0,0,3,0,0,0,1,13,1,0,0,4,4,2,0,0,0,2,0,0,5,2,1,0,0
"CEACAM16",0,4,1,2,0,1,2,0,3,0,7,7,1,8,0,5,4,6,0,3,4,0,7,2,14,1,0,16,8,5,1,7,0,7,14,0,3,0,9,0,2,1,0,6,5,2,2,7,6,15,3,11,7,1,13,5,14,12,0,3,1,0,4,23,4,1,1,1
"CFI",1303,70,494,161,5715,689,456,2882,312,1291,203,235,1798,181,2290,762,189,201,1006,177,505,6,135,439,86,573,134,281,387,225,203,148,1564,132,147,773,221,1564,167,1182,199,467,2115,296,414,190,118,292,80,102,183,124,234,877,217,136,158,193,1690,1890,1151,1796,111,407,269,1350,1891,417
"CFL1P6",0,1,0,0,0,0,0,1,2,1,1,1,3,1,2,0,0,0,0,1,2,0,7,0,2,0,1,4,0,1,0,1,0,2,1,0,2,0,4,1,4,0,0,2,2,4,0,1,1,1,4,3,1,2,1,2,0,0,0,0,0,1,1,0,0,0,1,0
"CGA",11,0,0,10,2,25,0,9,1,8,0,2,0,7,1,0,0,0,0,2,0,0,0,12,0,4,0,0,1,0,2,5,0,2,0,1,0,0,0,4,2,2,13,0,0,0,0,1,0,0,0,0,7,1,0,0,1,6,0,0,1,0,1,11,2,1,0,1
"CHIA",1,0,0,1,0,2,0,13,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,13,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,10,2,0,0,1,0,2,0,0,2,0,0,2,7,0
"CLDN1",271,40,173,564,598,447,344,315,132,1073,41,55,39,65,843,213,170,144,267,137,89,0,201,257,52,486,55,101,108,219,65,35,331,21,25,676,57,270,52,1048,20,155,1837,117,64,49,35,64,17,45,48,31,38,521,84,94,67,41,292,684,695,41,38,179,93,108,461,73
"CLDN2",38,16,161,156,2270,671,668,664,62,2012,9,45,21,10,984,34,202,14,156,40,22,1,34,479,11,521,24,24,22,45,71,2,150,14,14,260,14,148,4,791,8,90,2573,2,9,9,7,5,3,8,16,7,9,1905,1,22,27,9,597,3053,640,1964,66,32,71,311,340,139
"CLDN8",2774,8820,15,2945,42,10,1087,11,6254,6,4960,8491,20,8183,176,11558,9258,4717,531,3791,5793,11,10129,2713,23770,458,11256,6856,13265,3766,3762,12489,1505,11247,9372,834,9349,2663,11383,57,6789,3555,11,11566,11659,8777,14418,8381,7268,7113,14216,7380,12104,43,4079,11242,9055,7480,427,902,1871,461,8167,16704,7184,2590,536,9165
"CNTFR",62,80,115,25,3,27,36,6,90,22,108,107,27,53,3,61,40,110,5,117,74,0,679,10,32,0,25,256,185,315,234,41,25,45,159,7,114,32,155,13,133,73,3,44,92,136,42,462,327,114,126,41,52,2,139,98,141,146,13,56,13,697,61,110,28,45,6,48
"COL4A1",3724,845,11600,854,17419,15547,10295,46114,3642,20605,1314,3665,51188,739,6001,2885,4287,3171,6627,3143,4251,2,1618,9165,471,4787,924,3526,1915,3599,998,906,1584,984,3006,10279,2312,5650,2576,14893,2734,2710,22779,2378,2550,3535,1646,2488,1071,2639,2610,1261,3237,26148,2010,2721,2058,1344,22776,19057,14667,2038,1184,4331,3733,5227,14142,3590
"COL4A2-AS1",0,1,0,0,2,0,0,0,2,0,0,4,0,1,1,3,2,0,0,2,3,0,3,0,0,1,1,1,2,5,3,1,0,1,0,0,2,0,1,1,1,0,0,1,0,1,2,2,1,2,0,2,1,0,2,4,2,0,1,0,0,0,1,4,1,2,2,2
"COL5A3",236,53,719,97,1228,538,454,2743,211,1370,66,177,3330,31,374,225,187,151,238,148,160,0,95,431,49,230,64,249,198,159,95,96,396,32,255,606,121,494,234,699,94,241,1384,144,266,259,47,155,53,62,109,58,93,1031,176,50,103,41,953,1032,513,124,21,129,252,313,641,82
"COL6A3",5551,1223,26985,898,21449,29795,10102,83010,6295,21725,1718,6147,42905,924,7264,3816,3965,3987,5876,2617,7038,7,2380,8315,619,3616,1191,5207,1988,3953,1065,1255,1278,855,3685,8052,4115,5999,3034,15886,4062,3380,23753,2537,3737,5042,2358,4840,1596,3587,4022,1599,5578,21876,3218,3932,2372,1500,14096,27984,10848,3082,920,6614,5976,4980,12765,4260
"COL7A1",174,24,286,9,1914,267,255,17586,89,574,61,153,4062,19,385,108,149,164,183,109,133,1,61,393,20,157,39,221,109,115,37,120,31,48,139,393,192,215,136,767,75,189,2028,75,154,93,22,117,68,73,87,23,85,2167,47,44,58,30,433,827,231,49,22,105,192,372,522,86
"COL8A1",117,22,446,10,1376,686,158,7835,107,430,54,144,3041,3,21,70,101,97,31,124,122,0,58,89,14,47,12,147,25,66,35,21,22,14,76,105,74,90,96,74,103,88,1028,117,68,119,143,92,93,67,136,63,76,935,130,128,60,62,207,590,157,10,38,183,100,79,247,144
"CRISP3",0,1,3,0,5,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,6,0,1,29,0,0,0,0,0,1,0,0,0,2,4,0,1,0,1,0,31,0,5,12,1,0,7,0,1
"CSDC2",18,4,111,3,54,53,23,68,17,28,4,29,51,4,8,9,56,0,2,8,13,0,1,14,1,1,1,17,6,2,0,4,3,4,11,6,17,14,4,50,8,13,37,3,12,8,9,5,7,2,5,7,12,87,9,0,9,10,24,28,14,1,2,12,7,11,44,5
"CSF2RBP1",0,1,0,0,8,0,11,17,0,4,0,1,3,0,0,3,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,5,0,0,0,0,0,1,2
"CTD-2105E13.15",1,1,1,2,0,0,0,2,2,0,2,0,0,1,2,4,2,2,1,1,2,0,3,3,0,0,0,4,6,4,0,5,1,2,0,0,0,0,1,1,0,1,1,2,1,2,1,1,3,0,3,1,0,0,1,3,3,0,0,0,0,0,3,1,1,1,0,0
"CTD-2196E14.3",1,0,0,0,0,1,0,0,1,2,1,1,0,0,3,0,2,2,0,0,2,0,6,0,1,2,0,0,2,2,2,1,0,1,0,0,0,1,2,0,4,0,1,0,0,1,3,1,1,2,3,4,0,0,11,1,0,0,1,1,2,6,0,3,0,0,0,0
"CTD-2245E15.3",7,0,0,0,3,5,6,0,2,5,0,9,1,3,5,0,1,0,4,0,4,0,1,6,0,2,0,1,0,1,0,0,3,0,2,2,1,3,1,1,0,2,3,1,2,1,0,3,0,2,0,2,3,5,0,3,2,0,11,3,15,0,0,2,0,2,3,1
"CTD-2260A17.3",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,2,2,1,0,1,3,6,8,3,0,0,1,0,1,0,0,4,0,0,2,0,0,0,1,1,2,6,0,1,0,0,0,0,0,0,0,1,1,2,48,1,2,1,2,0,0
"CYP2B7P1",50,202,92,58,19,284,31,7,335,13,184,241,13,50,16,41,46,233,20,81,108,0,207,11,599,27,198,216,399,165,152,372,21,607,71,13,83,35,136,43,165,41,5,202,100,131,616,892,113,267,162,124,317,12,241,358,175,100,41,35,2,208,131,122,111,19,29,113
"DBH",3,0,0,0,1,1,0,1,4,4,2,2,7,1,1,3,1,5,1,0,4,0,2,4,3,0,1,2,2,6,1,1,1,1,3,3,1,0,0,2,2,2,1,0,2,3,2,0,3,2,1,1,0,0,1,6,4,2,2,0,0,10,3,4,3,0,0,4
"DEFB4B",0,0,0,0,2,0,14,0,0,8,1,0,0,0,1933,0,0,0,98,0,0,0,0,2,0,13,0,0,0,0,0,0,1,0,0,15,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,9,1,5,0,0,0,0,2,283,0
"DSG3",25,13,560,34,785,210,158,1270,69,21,28,11,5,16,1126,6,16,14,57,4,39,0,32,67,3,298,14,34,5,3,14,24,193,25,20,617,18,34,10,46,28,13,572,28,37,23,11,36,3,11,4,12,43,389,23,11,13,23,7,393,201,405,14,88,22,73,513,30
"DUOX1",117,23,14,80,625,37,337,49,70,129,26,57,16,58,240,49,47,28,55,25,59,1,19,156,21,151,61,19,75,19,96,37,212,27,24,236,29,86,18,260,22,40,92,31,33,28,17,50,13,10,84,18,28,133,27,24,24,23,136,196,157,22,25,19,45,64,251,40
"DUOXA1",84,11,3,129,138,8,166,25,48,69,7,64,7,54,115,15,57,13,39,11,34,0,7,79,20,117,52,18,50,1,30,14,227,9,6,159,21,43,11,260,5,22,49,19,17,5,7,28,3,8,38,4,19,77,3,12,7,9,64,69,77,7,11,6,35,49,164,20
"DUSP21",1,1,0,0,0,0,0,0,3,0,0,4,0,2,0,1,1,0,0,0,1,0,1,1,0,0,1,0,6,1,2,1,0,2,1,0,0,0,4,0,1,3,0,0,1,2,4,4,2,0,5,0,0,0,1,2,2,0,0,0,0,6,1,1,1,1,0,0
"EBF3",18,3,108,4,95,52,19,202,39,91,12,12,287,11,22,28,17,17,20,10,40,0,32,18,1,38,6,33,20,9,7,12,7,20,13,47,31,56,10,7,3,6,87,31,26,30,10,23,3,1,9,19,15,73,4,6,23,7,99,103,81,15,5,19,18,39,110,24
"EDN2",23,93,98,27,35,54,9,17,69,35,52,50,30,181,35,54,37,187,6,80,79,0,152,21,232,5,209,72,148,295,230,17,17,39,183,20,244,6,128,35,18,18,13,47,194,87,161,328,145,50,152,52,92,9,217,188,209,26,9,51,2,735,33,57,4,74,14,57
"EEF1DP3",4,2,8,2,24,25,6,6,3,15,2,9,2,5,104,0,1,4,7,3,2,0,2,9,3,30,13,8,8,1,2,7,16,7,8,109,5,3,4,6,0,2,21,1,2,3,8,5,7,2,7,1,1,14,3,0,2,0,7,3,22,8,4,7,3,8,32,3
"EMR2",491,54,342,103,2073,709,1782,4488,271,2254,112,320,4263,62,753,208,459,271,468,113,495,0,181,641,64,513,116,254,270,168,76,64,397,148,170,865,326,479,229,1250,178,465,1974,175,222,183,128,486,71,77,175,125,167,1440,207,135,159,154,774,1427,755,247,48,374,337,495,1647,226
"EPHB1",14,3,20,7,207,42,41,198,11,73,8,6,83,1,48,15,13,7,14,4,11,4,6,23,0,32,5,19,14,12,7,8,16,12,12,25,7,18,10,46,11,11,43,14,30,9,3,4,8,0,4,11,9,55,5,3,4,14,42,113,44,29,1,15,11,35,42,18
"ESM1",7,1,9,3,15,20,14,40,28,23,5,12,45,0,53,1,16,6,30,5,7,0,1,34,0,77,7,4,18,1,2,9,0,5,1,46,1,15,1,86,0,6,71,7,5,2,6,7,1,3,4,2,2,59,6,0,7,0,171,80,73,36,3,14,14,45,57,12
"F2RL2",324,3,147,59,213,454,109,284,16,838,48,58,134,9,98,34,236,54,110,89,76,0,54,123,31,71,12,105,16,60,19,15,29,13,46,237,35,93,32,384,105,62,628,45,23,9,29,64,16,35,27,12,24,560,64,50,24,14,335,671,184,56,10,70,83,87,363,52
"FAM132B",3,2,9,6,106,13,29,516,4,42,10,30,80,5,18,11,30,5,16,6,8,0,9,22,1,9,1,1,15,3,3,8,4,5,4,43,3,21,3,65,2,1,58,1,8,4,2,2,7,6,5,2,7,119,3,3,0,2,36,20,34,17,2,1,6,17,37,5
"FAM157B",7,2,2,2,21,0,12,23,1,3,1,1,31,0,1,4,0,1,2,2,0,0,2,2,0,0,0,3,2,0,0,1,0,1,5,0,7,4,1,1,1,1,12,3,0,3,0,0,1,0,5,1,2,5,2,1,1,0,5,10,2,2,1,1,0,2,7,0
"FAM169B",7,0,1,0,10,2,20,0,6,2,2,1,0,2,20,8,0,2,17,2,13,0,1,4,0,14,3,1,1,1,1,1,8,0,1,4,3,14,0,18,0,4,8,0,2,2,0,7,2,2,0,0,0,5,1,1,0,6,12,4,14,16,0,1,6,4,46,2
"FAM184B",16,34,5,23,3,21,7,1,10,2,15,17,5,17,0,14,23,118,3,150,29,0,83,6,16,0,10,30,14,191,109,12,6,15,26,5,9,2,86,1,24,20,2,12,21,68,10,36,17,15,58,7,10,1,22,41,44,24,1,2,4,0,0,19,26,4,3,16
"FAP",60,10,123,14,593,120,117,4716,55,291,21,34,4679,22,62,26,44,34,61,31,39,1,22,97,12,120,21,54,40,20,21,31,23,24,26,127,47,80,61,276,24,69,1155,28,35,34,25,29,24,23,45,27,41,617,33,21,16,30,235,224,85,36,27,61,63,96,194,33
"FER1L4",232,5,10,18,410,164,177,319,23,488,87,218,919,14,26,40,44,32,58,42,74,0,14,45,7,26,8,55,50,71,39,30,4,12,57,130,98,132,47,194,58,141,337,47,34,47,13,69,23,51,34,13,35,1002,50,23,22,12,92,484,130,25,4,46,77,405,484,55
"FGB",4,0,0,0,4,0,21,1,5,0,0,0,0,0,8,2,0,0,1,0,1,0,0,3,0,18,0,2,5,0,0,0,1,0,0,0,0,0,1,2,0,1,3,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1,0,10,5,2,0,0,0,1,0
"FGF10",23,3,115,9,114,118,42,318,12,167,8,24,129,1,7,8,40,17,32,20,23,0,11,19,0,8,3,12,2,19,0,5,3,3,5,26,20,28,15,31,12,10,147,8,12,12,7,8,1,4,16,13,21,81,6,5,6,5,40,79,29,19,5,14,28,42,37,7
"FGF5",0,0,12,1,4,2,3,16,2,1,0,0,34,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,2,0,2,1,13,1,0,0,0,1,0,0,1,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0
"FIBIN",64,9,115,2,472,153,56,1070,21,438,16,50,1786,4,16,20,55,89,97,93,27,0,37,107,2,54,2,66,32,49,25,8,11,9,44,63,39,42,63,114,41,36,1152,32,27,61,33,42,39,21,40,26,32,754,31,19,17,7,178,344,203,41,12,51,42,123,174,50
"FOLR3",3,0,5,0,165,5,11,31,1,2,1,0,19,0,9,1,8,2,10,2,3,2,0,13,0,2,0,2,3,0,0,2,2,0,37,5,5,0,7,55,0,0,225,15,2,2,0,9,1,1,5,0,0,34,7,0,2,2,3,24,0,5,0,0,6,15,3,2
"FOXQ1",16,2,25,17,154,120,29,245,18,445,20,20,56,7,181,31,35,19,13,19,58,0,18,123,2,27,1,19,16,9,3,14,89,0,12,73,25,25,16,153,8,29,256,11,21,22,12,25,10,10,22,9,7,154,8,15,16,4,28,373,46,10,4,13,8,32,37,2
"G6PC2",2,9,1,2,2,0,7,0,6,0,2,8,0,4,0,7,8,1,0,5,0,0,1,0,16,4,5,6,15,1,10,9,1,14,5,0,10,0,5,0,14,4,0,0,5,7,7,2,1,4,119,5,15,1,2,0,5,7,0,3,1,13,2,0,2,0,2,4
"GABRP",287,19,120,52,501,619,177,166,174,140,37,75,39,52,335,179,42,67,238,56,202,0,65,124,34,1249,41,47,349,25,87,45,194,59,46,209,44,354,26,174,30,168,233,111,112,41,36,187,11,30,18,29,51,455,105,33,33,222,532,817,177,561,28,58,111,243,844,73
"GCKR",8,0,2,2,42,10,15,31,1,16,3,2,17,0,13,2,3,0,2,1,3,0,4,2,0,1,1,3,2,1,2,3,0,1,0,0,1,4,0,13,0,2,6,2,0,1,1,1,0,3,0,0,0,21,2,1,0,0,7,15,5,4,0,0,5,4,4,0
"GIF",29,2,11,11,7,22,39,3,16,30,2,9,13,31,26,72,21,19,103,14,25,0,10,57,12,51,4,22,5,8,25,20,117,40,12,37,4,172,8,23,5,8,25,11,7,5,4,12,7,0,7,15,7,22,3,8,2,3,37,8,98,0,8,12,3,33,46,15
"GJA5",131,22,241,20,386,274,279,1161,34,472,37,69,790,16,76,53,53,15,105,49,56,0,49,144,18,91,5,50,73,69,36,26,13,20,29,95,50,84,34,95,57,98,380,59,41,30,15,49,25,25,91,39,49,355,33,36,22,26,392,184,275,60,25,48,42,133,380,30
"GPC5-AS1",3,3,0,0,0,0,0,0,3,0,2,0,0,1,1,0,1,5,0,0,2,0,0,1,3,0,0,4,0,0,0,2,1,1,0,0,4,0,0,0,0,2,0,0,0,9,0,0,2,3,3,1,1,0,0,3,2,0,0,0,0,0,0,2,1,1,0,0
"GRAMD2",339,52,58,98,271,221,275,178,371,207,22,43,15,281,780,214,81,45,244,39,132,0,40,261,37,287,119,53,64,45,84,29,741,66,63,339,60,201,41,170,29,84,441,41,35,62,53,64,14,25,52,57,104,89,34,27,33,41,152,163,456,198,63,71,53,266,304,88
"GREM1",3388,783,7262,223,10517,16469,7438,14484,2156,14367,1197,2514,29788,736,168,2205,3418,764,708,663,3429,2,416,2152,107,1235,854,1750,2193,638,125,618,580,635,820,1326,1872,4633,1245,265,2152,2421,17398,1691,2707,2387,1476,2548,1152,1831,3287,1376,2432,26006,2507,1882,1725,2015,7258,18908,2972,990,1249,2267,3437,3083,7197,1310
"GRIN3A",503,49,33,37,330,51,592,88,386,963,48,46,709,254,739,160,47,85,287,73,230,0,93,406,40,453,91,56,107,131,112,143,2074,122,60,421,36,409,30,406,46,138,551,74,78,68,62,138,18,62,83,81,106,110,64,53,73,37,272,164,599,47,37,80,54,263,369,38
"GRPR",10,5,6,44,6,0,14,5,4,24,2,1,9,6,33,8,18,3,12,1,3,0,3,16,5,52,4,5,6,11,0,3,70,2,4,28,2,2,4,26,5,5,5,1,9,3,5,11,1,2,1,3,8,7,1,3,3,8,22,13,43,2,1,5,4,9,9,3
"H19",18,9,332,3,322,277,57,581,22,280,11,14,1890,26,38,29,41,40,143,64,55,1,38,58,54,66,29,35,58,33,20,32,27,33,22,188,14,156,43,42,15,10,265,7,39,21,26,46,34,29,37,28,21,145,6,96,20,48,713,169,276,12,54,44,54,102,384,23
"HGF",230,18,412,70,880,384,328,3040,140,752,134,245,748,51,137,133,173,166,207,82,297,1,123,226,17,252,54,159,59,120,37,55,51,46,81,557,231,162,125,497,203,135,1380,130,126,173,142,276,61,94,139,88,118,1646,136,115,103,79,533,693,473,104,27,266,220,210,921,195
"HNRNPA1P21",44,7,24,21,56,34,48,50,8,136,10,9,153,3,20,28,20,9,26,14,40,0,9,40,9,74,9,19,25,6,7,10,27,12,7,45,21,30,6,55,6,37,52,14,21,15,14,27,1,5,9,6,12,94,8,10,5,16,34,121,60,16,12,11,27,58,159,7
"HP",12,2,8,3,14,19,7,70,4,20,4,1,23,0,17,14,4,1,12,2,2,2,12,16,0,0,0,7,6,1,3,1,16,2,0,19,4,31,1,32,9,0,113,6,5,6,6,7,0,3,6,6,0,42,0,5,0,1,35,12,9,0,1,0,6,10,32,6
"HRH2",22,4,22,2,227,65,164,565,22,134,10,8,458,6,63,17,9,21,30,10,27,0,13,38,5,52,5,22,38,16,7,3,21,12,8,102,9,29,18,122,15,26,140,13,16,19,11,28,1,8,12,10,15,167,17,8,8,3,56,138,74,63,1,32,25,47,95,9
"HRH4",31,11,11,5,46,32,48,58,4,63,1,6,378,1,24,11,2,7,31,12,6,0,1,44,0,26,9,6,4,11,7,7,26,15,9,39,2,10,5,42,20,5,123,40,1,5,4,3,1,2,10,10,7,26,10,7,14,2,67,116,33,27,5,19,33,41,29,15
"HS3ST6",0,11,1,0,0,7,1,0,5,1,13,15,0,23,0,6,16,4,0,81,16,0,75,3,150,0,6,10,11,70,18,168,2,22,24,0,11,1,1,0,24,3,0,4,4,9,24,17,125,28,35,30,14,0,53,4,89,35,1,0,0,2,5,35,1,2,0,1
"HTR1D",23,20,196,365,49,93,4,126,25,25,22,34,8,11,37,17,62,16,9,9,14,1,12,42,8,1,60,35,12,2,10,9,3,5,16,60,16,6,7,36,10,4,110,9,8,2,3,11,18,9,2,6,11,65,22,14,17,16,47,88,8,1335,8,35,34,51,112,38
"ICAM1",2940,267,782,309,7648,1413,5875,12072,1394,7134,716,870,13783,473,4309,1536,1087,765,1523,606,2401,30,540,2873,304,3311,765,1115,1696,680,531,797,3978,737,731,5968,744,1964,757,9094,783,2530,10733,830,1696,1005,514,1603,394,485,688,604,958,7791,732,741,598,525,3045,5781,3688,1034,290,1018,1513,2509,3968,673
"IGF2BP3",21,3,73,1,317,22,31,432,9,96,13,7,270,2,46,19,4,28,38,12,38,0,8,23,4,121,17,30,155,14,8,47,33,11,10,64,13,42,24,109,5,27,140,16,33,8,12,21,0,9,5,2,10,206,13,2,6,6,139,128,97,94,5,36,34,66,119,36
"IGFBP1",1,0,0,1,3,0,0,1,1,3,5,1,1,1,0,3,5,1,1,2,3,0,20,4,1,0,3,2,1,0,0,0,0,3,3,2,1,0,3,3,0,2,0,2,2,2,0,2,1,8,1,0,5,1,5,0,3,2,0,0,0,0,0,0,2,3,0,1
"IGFBP5",7816,853,5403,813,45033,35556,5258,80704,1954,26111,1685,3969,13773,1293,2842,5890,4999,1899,5148,1586,5699,2,1566,6325,473,3197,1346,2746,2392,2432,577,961,1057,1111,2248,8659,2344,9749,3474,13590,3472,3486,31774,3244,2832,2664,1304,3901,1376,2778,4370,2006,3319,30832,3889,3295,2693,1578,15745,21891,7820,3467,1255,3436,3048,8687,20287,4229
"IGHD3-16",5,0,0,0,8,7,9,5,1,15,4,3,6,0,0,3,4,0,4,1,2,0,0,4,0,1,0,2,4,0,0,0,0,0,3,4,1,4,0,8,3,1,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,11,5,2,1,0,1,0,9,3,0
"IGHD3-3",10,0,7,3,55,16,5,43,5,55,11,19,69,0,4,5,9,11,34,0,6,0,0,18,0,7,8,4,44,1,2,11,1,2,4,19,12,24,4,110,10,18,106,0,14,26,5,4,5,2,12,4,3,98,5,4,8,2,53,35,54,3,0,6,15,0,49,7
"IGHV1-58",155,9,53,112,3294,701,419,983,231,7384,201,486,208,11,378,487,242,393,422,112,151,0,327,1357,107,144,73,199,51,205,87,17,32,22,112,1446,342,207,194,2452,723,242,1999,157,475,230,360,282,578,241,203,115,132,1014,62,224,264,64,5161,1366,13507,210,249,352,177,463,3321,471
"IGHV1-69",2777,1118,3466,1629,68290,24103,7996,26708,6057,99861,16092,7687,21008,900,4989,1288,4854,10052,32016,2918,5054,3,2229,28767,873,16830,1522,4175,3318,2361,3510,2297,671,2149,6577,18055,8026,13535,4258,76124,9586,16055,36631,7992,9685,1705,5722,8667,5259,4528,12952,10172,5807,101098,4572,5354,6542,1632,61084,65016,71372,2408,1649,9882,5447,37827,42268,10815
"IGHV1-8",127,229,312,375,33537,3498,4238,25465,533,217,2692,39,6995,279,1335,3238,2378,1087,10309,766,1981,0,693,169,181,2404,261,18,894,1507,451,884,94,384,894,5431,33,1973,1753,12707,26,1054,6210,1341,28,3555,671,1777,14,37,2312,1265,19,12036,1848,1965,1541,13,10042,10730,11392,583,307,6120,2631,10212,4097,887
"IGHV1OR15-6",2,0,0,0,6,0,1,5,0,6,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,4,0,1,0,1,1,0,3,0,0,0,1,0,0,4,0,1,12,0,0,0,0,0,2,0,1,0,0,1,1,2,0,0,1,11,29,0,1,0,0,9,3,1
"IGHV3-15",34479,1007,4217,3632,32105,24927,4937,64147,5535,21361,11055,13776,52112,1710,5775,8938,4735,4476,19506,3289,20756,4,801,18097,806,9020,1704,4821,3995,4767,2984,2586,1709,795,4569,14539,12564,10652,4509,58085,7366,7170,83876,9168,20546,9781,3234,10577,6146,5616,6327,6183,3959,80556,6766,6152,6839,1858,33087,33320,25707,2503,1099,8109,6269,29492,32982,5745
"IGHV3-49",9876,254,798,1734,5912,8274,4067,11162,1481,7877,2174,7406,15901,690,1037,3233,1969,5800,15977,1285,7111,2,1516,6074,171,2677,275,449,1687,2704,728,327,525,282,1638,2729,2224,2268,2117,9792,2617,3590,35330,1749,3805,2624,668,2642,506,3663,1503,2509,1481,27286,1811,2617,4964,596,17404,6528,14990,767,428,3458,1405,5872,8427,2272
"IGHV4-34",4631,240,1456,498,29194,7428,1835,25206,648,28510,2075,5796,14136,261,3186,1626,2305,2525,14192,2119,2088,1,1182,16706,167,3493,351,2825,1927,1045,1058,582,630,551,2269,8657,3858,4319,1718,8997,3668,3019,28983,1834,5902,1738,1067,4553,2266,1690,2816,1981,1486,45347,1772,1787,2507,1287,45911,23657,25082,686,612,4625,2341,28358,31326,2113
