"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"glycochenodeoxycholate_C18n_QI56",2065069,837398,6563488,1941201,27871309,1441180,370144,437312,7978802,846725,2178941,133640747,10844649,271852655,1233247,605941,808158,600154,1041778,3637333,1165715,2570269,10648762,1294365,1221705,1782479,207219944,1208926,1665274,11530156,1907001,8102408,114219,1805199,6739554,607642,1442111,613100,2235170,2032751,138158,432044,1055295,1048464,13882694,596902,9416821
"glycocholate_C18n_QI59",3185254,511451,5781576,1349876,58702078,2725341,322033,203570,7627977,500685,1254570,110749011,5146385,203582299,2344589,146750,659820,728643,152871,1939132,900259,451944,10967681,292609,560367,943548,265406538,203546,1258190,35245395,1343338,6790840,1433587,684909,2905998,834458,3937777,859324,731771,2278276,126325,305324,1794504,2449748,13087304,313066,5466465
"taurocholate_C18n_QI65",71890765,461119,2557378,746536,57017149,4853886,283126,374892,70992672,118399,438338,18713641,4078445,142924683,3196713,499498,312207,606630,268042,224989,552574,2804055,28820998,1066544,557884,961039,173847262,300015,472046,19203876,487280,8851895,48569,422958,3407022,693372,21189027,842247,190861,694876,101282,728661,1299196,2602949,4458812,560956,622614169
"_C18n_QI3068",7111,11345,2938,8398,9339,1219,8001,5557,18,44744,12693,264056,13520,36882,13451,4210,11323,11304,7435,30482,4554,66045,8751,7115,8431,4728,20243,24119,9820,16954,4967,9158,182469,11065,5526,2619,11833,3343,6050,6225,42282,6774,5396,7081,8736,6279,6539
"_C18n_QI622",71603,136495,64874,102892,122626,25221,69703,128779,33729,1784969,64768,493956,323162,4007405,223511,68231,192777,192543,138248,466867,138695,613346,160769,425308,79603,57876,3077614,628938,143670,209485,46254,96428,3203491,231981,96012,56206,427279,99731,54285,81680,393348,174846,74157,124882,84977,252333,97190
"_C18n_QI1616",29537,27716,3968,4942,26564,472,9455,28190,6608,419146,7616,38251,4987,977722,50327,20793,40767,13267,36597,9295,11060,58473,103199,215695,14420,17419,1015336,98337,70489,91523,18445,18685,1536120,15172,59674,16800,170109,76246,14374,21493,21774,38706,15207,4911,12800,7603,64470
"_C18n_QI1832",20586,7323,9755,8841,23969,687,18660,13535,7964,33616,1280,299904,105039,1400451,28492,18956,19122,42091,9352,25328,8351,136390,11414,71076,8693,16076,345379,51986,25150,26140,7116,13402,287379,32236,6471,12699,90919,15939,5907,11601,10662,9829,2748,3842,12696,169971,8101
"_C18n_QI472",58811,114185,51699,34086,142407,43331,54253,143059,40224,4286808,62267,461442,512840,873218,246442,62187,168940,125678,106550,740125,151204,1004257,78058,470038,30184,44334,505762,241561,88506,233311,55800,41392,8642620,458064,46625,70588,43238,59374,26474,123675,679101,130360,181034,108014,51492,229373,117334
"_C18n_QI770",30989,44163,27120,17734,20061,45786,33467,29204,8483,135760,8733,605934,150147,2378722,63756,53737,96500,47976,26528,169950,51073,448338,265316,69618,37688,31138,5010512,87742,42614,57965,23032,38478,1467362,16735,21018,45519,1583782,22895,24048,16151,47133,16061,17292,25351,33036,255794,85419
"_C18n_QI1303",884,7768,17480,151,3989,4774,1616,4162,9893,110607,5763,42794,25322,276420,3864,8751,1436,459,3871,12089,6387,12196,9993,4158,3585,2949,669117,2383,5509,5616,9555,2449,243810,13601,7047,19875,256832,11724,1193,1912,14038,3810,18872,11941,1804,4033,102150
"_C18n_QI4081",8242,51223,1783,5185,9619,1968,19302,14786,6199,62628,2550,377132,176183,404214,9583,13807,66499,46563,13725,57374,4689,168672,31056,96722,27274,12870,95567,65180,12264,14816,20294,12059,2832720,26772,13613,10843,148668,45393,39287,14114,140647,13617,31555,30533,15865,37127,129063
"_C18n_QI5213",3963300,7290,18491,2904,11642,20000,31705,7222,73350,42021,14387,153683,54319,1915962,26393,87384,44954,33717,24689,16161,7271,556728,45276,6580,19791,9332,218039,21988,4939,179579,12675,5218,213365,9952,2698,4475,370527,7232,6551,9147,31388,6554,7104,16266,4014,125156,169682
"_C18n_QI1500",3731,5282,2467,411,11192,1741,4181,6883,1097,38770,403,67836,50401,51864,6798,4652,4043,10295,1026,6323,3214,60681,2679,7854,7246,779,61167,10933,3201,11391,1029,2447,88224,6248,144,3193,1338,1153,1975,3131,2182,5186,93,3254,584,7309,440
"_C18n_QI1718",9702,8428,5488,751,18172,2764,11921,12546,2109,109284,615,92068,68625,40361,9764,12976,19384,23598,9079,30180,4232,116756,11572,10280,9436,3837,91363,26149,3009,28672,5964,12550,516464,16156,468,13924,23234,11566,10001,7919,8448,11745,1483,5275,7340,19177,1746
"_C18n_QI96",1436,3335,1313,1951,3037,4754,933,2416,927,50769,344,14965,12601,34473,3003,2471,8346,5449,3353,14899,1129,36718,5436,7160,1603,815,184710,8499,2986,8600,2136,1779,10658,11283,1568,1909,57547,816,2900,3401,13168,3059,1478,1297,2094,6486,756
"_C18n_QI469",59943,75987,42445,81378,94812,16256,48862,76696,17060,1145980,45071,359571,267911,1003163,203027,73070,106760,107525,97907,244939,67071,776785,51120,169099,70277,41045,1064984,199723,88578,152313,33566,56693,3235486,141621,34638,28966,417319,144639,29726,58266,278981,77673,51552,94260,86185,153780,57790
"_C18n_QI250",5885,22670,12763,31858,11877,4301,11686,17613,8925,163062,7361,152926,28891,317517,35717,18798,41359,8853,13881,71564,12457,82245,10268,26103,17085,12024,259141,12777,8228,16991,16735,14722,24395,52547,6561,8083,332227,5383,12324,26959,106137,26482,14003,15912,13212,31763,5404
"_C18n_QI335",64632,41246,25923,27842,41941,77821,29690,27285,20318,487424,10850,187847,221075,383937,47456,47121,150528,98873,40569,133656,21536,674805,113216,99185,46432,16907,2691606,108892,53097,129754,34287,36446,376334,93821,16951,23239,896037,31904,58827,41852,88519,21829,23487,29515,36189,61426,23578
"_C18n_QI426",3905,1244,1807,1078,2394,86,1750,1572,900,55217,648,8206,10043,56199,3128,1022,2261,2339,1361,198,807,20716,4811,3366,817,139,92467,4401,996,3034,153,1560,7342,2249,1029,1224,13742,194,1288,1781,1185,1540,587,1041,1640,3808,731
"_C18n_QI620",49386,26073,38904,16576,63803,7725,29777,28531,17363,815773,8770,307426,218675,1048061,38264,20647,51995,65632,21039,45450,24320,349652,101758,73814,13351,6587,1750590,79410,21966,65255,13140,39179,1171987,59080,9336,21900,191075,14052,18870,49663,25118,40896,16082,26568,20745,67018,21347
"_C18n_QI998",40209,87117,51777,109027,37461,19891,36238,106712,10115,1805112,64340,461901,400271,802571,299454,95562,146154,76563,142336,432759,42590,1040902,21628,271425,96177,52856,1339114,173212,142185,206986,41641,48682,4388028,282176,30293,37781,477940,25756,34339,83470,514525,104495,69136,108370,117527,279340,94585
"_C18n_QI82",90223,377351,94120,43249,122235,182475,747375,101419,118925,313539,88440,430677,331198,4569387,239854,567628,145462,135070,187762,401146,163149,131241,854481,215915,142414,78547,5839305,106085,164918,195230,200997,124579,2801705,124006,187627,80348,5290026,927073,77883,87848,467423,58040,148411,108356,84338,122742,305508
"_C18n_QI429",113155,222326,122999,190859,104619,73142,171618,246910,55798,1570489,114015,274469,446525,2091201,316285,163355,311704,90503,227120,485146,169661,962486,745019,532292,91349,90813,6906750,203505,201758,415078,74707,146335,1280269,313852,80353,129234,1606821,207518,81312,317583,1477815,402977,313198,362488,130375,296959,89084
"_C18n_QI3213",275538,2020,3717,5287,289,218,26343,6067,1122,13711,1813,8789,19929,151446,1514,14518,24665,2716,12859,10861,4422,37441,32957,663,17441,2016,102197,348,12574,18537,15869,7519,13223,8363,5192,1011,115154,813,11618,19743,14639,10458,5443,3051,5261,86015,81177
"_C18n_QI2296",107778,96026,102188,37550,97781,42221,71589,86913,34945,1659358,31603,511815,449689,1545070,92697,77707,126186,103142,59828,168346,35926,574360,64484,159389,43765,48245,865453,102184,55387,170110,40325,68016,842053,138626,29461,63537,23772,8813,51645,79193,226111,88926,33958,79028,70736,152471,39679
"_C18n_QI453",3166798,225615,234534,365741,514683,376138,114035,240895,104098,2589373,104190,4193064,1443778,2204868,317502,296671,926813,787770,239212,2226113,106634,3705524,407259,428391,270541,134367,6508951,540577,315603,1045905,465343,1146758,1793118,2427760,117351,145532,2922411,187376,615433,538466,2162919,578086,265734,209608,372592,1208964,171164
"_C18n_QI871",1030118,32979,37287,62439,86069,98456,28027,42496,15271,545610,24120,942803,227040,393330,88358,55938,134682,288289,44549,350660,25514,737353,157601,73045,58920,31326,1575937,94287,65116,151974,150300,132963,501989,313131,44796,21939,986580,86722,81451,82322,341394,81153,41756,47130,64722,207089,64035
"_C18n_QI3916",40687,9660,44107,6998,22063,583,19614,29975,81953,256426,12099,173613,258754,417690,44355,34988,55412,36145,33913,40745,20007,301197,32791,36116,33812,34297,327844,59988,23368,51277,10976,26076,681219,29668,15112,33211,244966,4326,22770,27435,30746,38611,8525,41638,24260,72221,117373
"_C18n_QI1286",498548,156556,3895219,95227,58812,37603,247957,206720,23651,1304038,103107,285106,145680,8675631,4331823,406784,120570,56376,156928,184716,102189,67168,52572,647769,94047,44884,43038930,37921,49787,157068,86790,47544,2042093,198664,502761,179984,2531379,122979,177126,68805,674348,144375,214187,5490903,61649,134140,192831
"_C18n_QI2295",99772,40450,58788,7165,171440,60224,14806,37601,20213,851328,21381,711602,309976,2027783,58497,45056,67910,80739,30053,187818,27663,327331,34135,106670,30085,28130,1502246,68272,45852,97772,27671,49526,598390,138006,24499,38582,97193,5003,23854,43741,237314,47268,21781,66478,47877,118566,71180
"_C18n_QI3981",61797,3554,35127,874,59206,13546,12294,17175,13803,73734,12169,361107,55637,294583,114860,8744,12671,63519,9481,19202,16591,139729,12493,19215,45800,16089,376481,13077,18347,30790,29971,26948,363124,9082,3507,24491,39723,4253,15822,9120,1270,15407,4785,45303,53296,34448,34033
"_C18n_QI2667",159057,30349,79546,14293,220890,84303,32240,40397,28653,532587,34811,953121,161037,1716251,75908,53576,61381,85392,33328,116318,31956,219401,23639,70945,51036,41092,682676,76538,36888,94354,28835,43945,1686831,84202,20658,36096,161079,34421,26406,48977,183230,41333,23247,77700,40776,104128,95199
"_C18n_QI4383",156850,25857,92896,10362,161570,60730,45440,53838,36048,437457,35606,618654,139987,2548453,222726,35044,120028,57946,31641,64824,71278,131121,59264,68596,57546,53190,668095,56814,57597,83483,48500,43544,1232987,49969,17753,106602,301063,24016,26253,56375,48281,49478,18491,192256,65195,94094,90743
"_C18n_QI5317",109330,9178,47084,822,114902,40125,13091,22820,13772,312901,19785,444456,154320,1037822,56748,25803,24733,55687,21832,32189,35595,88021,8234,59616,30727,27704,832911,44946,23260,49003,14778,25142,1069170,25498,13026,24243,227850,18362,14878,44021,26444,36157,7274,70446,31906,58127,70873
"_C18n_QI1475",183644,254743,118485,138393,231875,1671997,52699,90286,120026,1733745,81165,2205442,1076000,3726181,290869,205552,639568,491481,178797,1047780,221805,2422402,66799,574343,161698,134205,15965286,526111,232749,418113,154157,190260,3322014,910076,241189,81104,9693218,17380,209813,264708,1444800,178990,180577,236007,340383,657855,277837
"_C18n_QI1875",33974,6776,101406,24614,188988,127989,40950,90723,44238,152197,21305,943055,214643,2944825,120503,294247,92253,49695,47469,61997,26194,595079,63937,79991,57111,64014,4068279,110440,188886,133132,34310,114723,96977,74262,36891,27943,3618222,24425,43605,50633,129249,76807,38384,47631,51977,83258,57997
"_C18n_QI1553",74572,121858,83897,69356,98782,28670,22616,52185,105407,6457,2491,314,5837,4650,3389,2307,1558,129543,2937,1653,5299,47710,348,160822,1803,722,6395,439452,797,2638,2052,395,1703,8050,10042,2702,16204,1605,6787,5406,595,1613,3091,16242,1296,1009,2093
"_C18n_QI3860",68584,11964,213391,1930,317769,137922,10759,169884,62382,372430,126645,745225,187089,2118850,331316,102981,73767,65035,54460,111780,163151,332924,107653,163115,104286,77972,358807,47334,183220,139130,74539,252256,3188301,138516,47498,65075,44456,8272,87925,124082,28988,160156,43009,360623,252220,281161,201363
"_C18n_QI5508",872425,1558219,85708,108882,773672,34880,89651,92616,546870,20034,73301,3630,13771,18512,25053,145375,32559,4411891,14554,13447,9589,61258,118858,52014,88783,43219,6149,2100969,27539,13969,22152,26382,20287,14272,32799,35283,2212,271191,33759,19119,46496,32097,10178,50248,21381,49596,104006
"_C18n_QI626",2104,17064,14747,8229,17085,15131,54,13393,2330,124461,21942,41543,52232,238730,27815,5853,15751,1860,20051,75955,20155,61768,23834,22700,4673,1814,188728,2114,12707,24917,2586,17376,88384,60543,10644,2977,95653,467,2267,24051,119666,45764,48009,42904,21823,33488,12111
"_C18n_QI6198",66778,89113,96312,59690,232519,120777,4775,59969,171724,329475,101250,37239,98117,223231,249909,86085,121623,56885,130392,151346,108361,1456066,47765,77389,129870,61428,8305456,22865,161189,258984,115762,104148,115943,187815,81086,40621,2958167,54617,56007,102072,260255,196786,173840,349385,248953,247173,158581
"_C18n_QI5562",1341558,3090,64349,738,1822715,5245,12077,133416,88570,28176,2585,8119,5714,9540,2902,4461,3520,210813,2808,6992,2842,19715,30253,170326,3562,238,4407,127579,1134,1164,27044,1369,27497,15899,14746,6000,27352,2057,18076,1354,19827,1264,10352,16639,6157,486,2701
"_C18n_QI5251",350859,58106,264676,11570,454679,115421,119124,97753,189424,540113,82584,3033863,617200,1851468,231270,126223,65049,142389,130453,106816,175994,350600,157601,74009,61301,145548,988614,115362,89453,128713,64934,113978,689972,105596,36789,119518,472947,338273,20335,148701,78358,43068,52965,246926,139327,216990,215408
"_C18n_QI6080",27404,12642,56136,5218,86368,37669,25195,11543,20900,136920,36346,125425,80169,682562,55925,11673,18897,29289,9196,56043,46365,237763,33866,33028,28525,13613,188590,8049,12325,36638,16753,42408,341927,99210,10711,45709,42218,5133,23761,39567,8465,40271,1837,55457,53900,71341,22480
"_C18n_QI6241",14593,2991,10153,2563,32310,10168,17239,2383,700,66888,13160,356894,225486,624397,77148,645,14459,14570,9027,15085,11907,51713,9404,21398,6500,5045,172962,16091,4481,9072,10178,6376,139824,20716,12750,13711,8086,4581,1000,9428,14243,6608,1206,9176,31108,25985,7109
"_C18n_QI503",947657,41408,64754,68331,13594,87765,32843,47023,199590,135294,71654,57490,752683,71308,32968,16228,24877,16520,28133,32316,37044,46153,356787,13039,17642,330871,52489,40831,38199,39044,36219,8584,300359,46844,107830,100739,967544,1570735,117447,66431,159213,91723,98756,180770,257669,9195,7285465
"_C18n_QI2162",137720,142897,210704,15448,390628,411010,131200,184829,156903,240791,27610,6229191,456061,5640023,123235,313728,165216,174229,97393,220465,34377,1440506,157616,122108,54213,114868,6873944,468521,180294,276269,60900,247959,180752,299044,69500,58626,3158015,131085,99200,85520,55000,97673,66717,61051,124762,87942,111562
"_C18n_QI5924",918125,3210,69349,512,483,67,6723,1536,628,28272,1739,58075,15680,232820,7659,6679,1413,3733,2914,6642,610,6,10271,7419,5392,20489,105595,1636,356,1437,2269,227,21643,31279,74553,11117,487352,16720,41913,1658,54047,4058,35770,40442,6629,243,35310
"_C18n_QI7908",40549,6534,4160,39846,447,29107,1697,43077,6291,46586,642,116856,26909,606492,74377,159427,26109,8514,72493,2780,4686,59704,13988,86179,85388,91243,35937,2023,8009,32791,6819,10095,25786,4468,602302,12158,43897,4686,15036,46660,26707,5398,8623,9378,13478,11984,9213
"_C18n_QI873",3741009,4292562,808591,1909194,2212530,25821,4661053,897353,985203,81645,9733,327215,117323,297977,43328,17507,18675,3413105,13931,61669,15195,88299,35319,2412272,9616,16056,277951,3682161,20975,18566,17445,18718,95086,41422,22958,5211,201206,397605,10693,11859,78177,14221,11196,19016,28009,86020,50483
"_C18n_QI1549",30010032,39298158,7440944,17186639,17847534,45893,41483552,8240304,9078877,198340,25620,24613,275994,78209,262787,43815,23666,26859001,38027,34023,90952,2601706,8508,20279219,51712,282078,96082,29782864,121499,107341,161067,66485,694303,151988,115801,33367,64465,2890221,145913,31932,165406,58044,64589,116868,92102,77070,100553
"_C18n_QI1784",720730,993133,494871,1309725,250936,14711,1722849,747159,361967,40575,15742,23510,42194,100543,57563,20168,13810,99696,14365,27274,17259,32465,24518,1256683,15575,18123,22617,219628,32873,15835,24469,26648,54367,13833,34336,6041,30362,303687,16047,20840,46913,15212,20057,21240,73735,33455,35603
"_C18n_QI869",820190,16022,101574,59456,674181,10116,15747,24962,6166,16135,4182,9242,8370,16096,18307,17565,4890,50192,12518,13267,3031,11081,8036,33943,6950,3146,95,28952,6767,12922,1900,12581,43146,6998,7343,3871,12542,14098,2917,12082,10360,9338,21836,12147,3436,2017,6665
"_C18n_QI10297",127897,31581,2560,88783,5666,29918,9635,82446,1246,74318,25319,134886,33444,559787,299997,227714,15555,27433,194732,4105,9699,884042,22997,147397,271418,311135,115581,9481,23727,212760,1299,10942,7043,9177,2150545,56509,201802,20974,10068,119416,145014,6630,49550,28585,47754,19230,30078
"_C18n_QI4779",78337,1294080,94733,351667,1188652,8514,131476,134783,163523,38850,38773,2433,143809,226,1834,12730,31594,118187,32223,25036,11212,10563,47,249069,61953,22266,918,725335,10438,18768,13333,6162,6250,30243,41905,37710,1956,74070,64818,68521,89174,92668,27248,173765,53069,2741,52882
"_C18n_QI11507",217627,120348,22935,333662,5819,22238,58372,249186,11894,183918,66404,320605,114379,1524434,947247,1083887,312811,150808,796805,19559,16029,1448622,55891,457750,895623,1011867,409696,10182,65535,427995,69077,32066,17638,28046,5259071,283545,580452,39812,22350,489289,470572,19899,206009,86218,75170,56678,47665
"_C18n_QI7232",6775,2769,13360,569,59675,1988,5924,9768,10816,58998,7302,438815,27668,374982,23911,2629,3697,8784,6868,8688,5749,41640,862,32401,3746,4677,32997,16200,8140,8212,2989,10537,120114,10882,790,6911,192,2356,815,9169,8755,14553,4326,13659,8567,46629,7036
"_C18n_QI7623",20948,9298,56255,12232,41494,23040,53276,25542,37789,51215,3802,166005,354709,57942,14560,56346,42851,36864,25456,116285,13049,1115450,27422,51261,21789,43929,133792,63331,31282,131437,26920,34970,125482,52719,6767,20727,34887,8266,46122,14651,8832,18981,1544,13301,56384,88254,14574
"_C18n_QI2803",44326,4557,10286,16712,7204,25683,21954,8630,10246,99016,1738,612006,30283,101833,147913,8144,12015,51963,8610,25623,741,220367,46886,43555,2863,5256,2231482,14086,10546,9528,2524,3032,7988,13081,12642,2345,448999,71043,11739,8506,63401,6841,10022,14112,2212,16154,18956
"_C18n_QI2762",1017,74703,8908,5239,17314,359837,29535,9488,11053,33606,7426,697,1252,10909,11708,6415,3700,11615,3115,3431,10384,13728,562839,2552,8631,7740,5140,2179,5983,67939,126666,71059,37452,1571,43797,22630,18585,26531,10802,22575,36743,4111,14284,32507,23324,5892,255421
"_C18n_QI8880",7167,171668,1283855,2208034,1704512,25,7193,1263369,12656,12076,1406,29997,17416,185830,8768,2668,1627,521574,9159,961,1887,8353,2922,2141005,3247,2454,6281,356786,1279,1134,2720,1678,44953,1655,1224,13584,357,482004,246,12040,1268,5805,607,2956,11240,2645,2670
"_C18n_QI334",415536,1793321,111040,392375,316993,2543,138695,263599,426830,2541,1997,1528,915,9006,2073,1212,609,2621910,771,419,1695,2833,3015,49893,730,1778,955,5895721,1647,1295,1312,1027,18396,411,575,551,167,2260696,216,781,335,456,537,806,3913,882,2551
"_C18n_QI856",24180,111318,6054,22969,16937,4225,7649,14922,24588,2466,1056,82,1732,2212,1957,2280,996,167465,2436,1184,659,28,776,2210,980,1549,107,380153,1059,782,1239,737,8815,206,596,813,1965,140838,293,919,507,853,954,1413,1191,185,1229
"_C18n_QI9306",300464,7326,64478,3844,126219,31141,86448,26595,119058,39449,6961,390731,214682,2125771,188933,30028,16428,61197,33778,34687,72308,86973,150558,34602,8338,62651,142087,35629,24122,28960,36836,46658,134103,14640,6339,43421,376643,228564,6062,7099,8781,10574,22012,21728,218656,169332,277388
"_C18n_QI9252",94017,729617,365873,641772,1006656,451,25330,41717,324004,17210,5,17020,2656,29021,464,225,939,193910,398,360,251,1938,17,131860,615,37,786,365956,411,190,42,933,14725,1352,7702,210,6743,34775,619,3629,20924,15882,49680,1324,2004,1664,50
"_C18n_QI215",11549,13860,6479,11174,19912,1526,20072,12738,21305,2894,2792,62,1474,1315,2458,3094,2344,46972,1414,767,1387,8041,1570,11775,3572,2833,2015,91592,1580,1761,2148,2452,15774,875,3723,1746,684,16045,1666,2631,2759,2240,1360,1917,3163,2904,4973
"_C18n_QI4410",258,110096,5006,168,63,121,94585,177,319,2665,584,609,274,2044,55,86207,958,42514,10662,3933,6578,618,975,23,70,68032,899,465,706,3403,15576,56,1335,4851,11072,446938,1916,60253,476736,291,175814,1684,2358,7873,19182,74,303
"_C18n_QI2448",16332,20214,53012,36182,112038,1362,259461,80611,36228,585,307,10979,2102,7467,1908,465,1772,183316,496,4119,307,306,321,87961,381,1153,396,136112,776,240,1608,579,8357,957,236,164,160,19571,101,669,7334,101,138,505,1281,745,1478
"_C18n_QI9815",14816,557570,188456,96176,93293,153416,303064,225429,31739,13533,1957737,382349,5401904,31705,1900675,1896694,1565638,523403,288532,4480532,283116,1540118,186110,2283494,9729919,613525,2804,921664,484846,19531140,298601,2226659,467430,14726494,169009,1623918,16657445,47956,359934,118342,705175,53211,3393847,267563,1085814,293079,48316
"_C18n_QI5142",115854,78087,8045,12381,158088,11529,43493,30200,38912,32,17869,2856,73118,3681,4019,114208,6952,846204,3342,49622,5452,31330,65726,16042,42520,11502,95,205529,15423,7265,8348,4860,223,3378,6781,13403,3193,115559,9935,2860,16283,1641,2988,9489,5621,16678,67511
"_C18n_QI3493",617,6949,3868,21786,3468,176,23979,13643,3821,30504,1601,10309,11802,165522,11990,23742,16764,806,7747,5864,3515,29818,1231,21187,21116,3930,213876,5176,552,10167,5498,3214,15462,13251,2067,16946,261675,15123,14331,58782,84882,57672,5472,3567,1564,3575,20442
"_C18n_QI7476",490,13208,4771,196794,1316,354,62575,3555,3625,37740,5887,6403,3261,1164,29936,4518,178702,5022,31645,10973,15623,5163,6382,3976,12961,10235,1672,74438,23802,24657,15762,10324,549,27835,5048,18952,1242,12163,1958,12451,43927,169280,3260,36220,5619,6228,275
"_C18n_QI8154",6298,1196,1205,669144,1008,11245,75927,110,4760,119496,627,5042,35268,7075,92975,217,351992,3122,77688,3042,38274,146,23883,1349,14968,2180,2185,139776,74778,78199,36576,575,4978,31205,1716,220,322,5061,1288,17446,40481,424195,815,184557,6266,6321,7514
"_C18n_QI4772",227,66907,29697,13068,15698,25697,25114,649735,1460,101949,120054,46,223,19,11748,60392,642775,23227,43017,1444381,20271,6524,615,1050843,225783,37545,13,11844,11968,16214,30214,156846,86027,1030509,139257,36092,110,58345,50288,1823364,1464906,45179,144124,529318,15381,32539,72706
"_C18n_QI2452",9181,6976,524873,76249,2392602,3621964,363749,21764,47489,6473,372429,41780,140731,793778,12865,89969,69081,137293,453072,677822,566827,632,15000,27890,25656,252479,950136,20187,202181,29604,1637712,574696,1523,141428,109956,9819,90125,17000,31475,338930,199961,1902,972561,27043,13881,867091,18478738
"_C18n_QI7452",16783,31705,7418578,5868,5562,39800,23767,24173,22113,96751,500905,6259,7440,1431,577336,61336,12570,20973,100199,73684,5252,11699,578269,49501,15468,20700,24971,14927,45621,8015,17719,16583,5634216,3704984,4057579,4724948,31992,1707925,9422622,6109,5795550,129614,1731683,7166501,11044,30445,12595
"_C18n_QI3534",5414,5049,6283,8818,7203,1471,560,9475,1200,14309,3552,20499,28912,385862,26944,32944,13080,1954,9893,15187,1866,34250,7800,20990,24707,3557,132252,9949,932,12535,16991,4531,20829,7663,1135,18157,376080,42933,5330,1752,3533,24892,4598,978,342,7421,46497
"_C18n_QI6525",637,315583,973,1457805,41477,52204,5890,12118,2809,1474447,93939,14816,174520,9513,1565,5487,83232,29931,20694,930,2172,28877,31,428739,3545956,2696119,22130,304115,577544,34556,185546,4772612,47422,238035,92150,10862,2322,3838,73796,702601,53746,286495,43241,320259,3038,38702,4207
"_C18n_QI4844",4569,776,89053,1745,27,4316,660,909,1051,1501,513473,976,8359,2394,2265,3028,156280,3103,5364,156945,438,5072,1895,804,320072,1003,4207,783,2020,27373,1118,55318,471225,2871,9420,501070,8920,609,11986,3202,11388,935,10006,25176,13199,4807,3448
"_C18n_QI1906",2024,2337,72302,19352,98234,555658,28194,35978,84068,15036,3792,10982,3488,865,5460,25443,7578,148906,119558,7501,47037,64529,9426,3038,42314,53146,9730,671960,96039,145129,7723,126994,76364,25100,25714,34243,1631,38636,62868,14568,114689,466,161201,29177,1645,76417,89398
"_C18n_QI8253",17702,36225,587,2901,5991,4235,1895594,4694,597024,25297,11617,6240,18579,9494,334786,13353,102961,3923,250117,537959,3012486,3756,1767137,1749,228,634334,188549,509,10613,1337569,147905,1488,3191,144969,307,88883,127698,1797155,12883,81653,8149,235529,3466,420,626376,267,11291
"_C18n_QI1827",31841,4512,107965,7,116870,93583,36847,19510,1647385,2810,37936,696514,207399,45513,39674,474094,6016,28805,34272,107975,63853,948853,359965,19729,8413,31376,168133,88239,49417,40356,114895,40271,527671,5054,82108,560277,533799,74445,4329098,1337,205280,55,2478067,14474,26148,1876120,239099
"_C18n_QI9658",695,3109,2044,2878,226,943,637,1604,5959,1771,7166,248,1137,6920,2281,8013,5009,306,41833,145124,832,6640,826,1358,240880,1504,283,336,1887,1585,1823,1423,598,1798,7496641,4523,397,2235,1936,811,1059,1011,6220,2899,37645,4978,1129
"_C18n_QI8251",53898,12776,19555,27761,37135,49914,22732,9358,63300,1575,2254,18308,32438,192055,104992,726,6931,9063,411593,1371027,30745,31706,34829,3539,1263883,43439,696918,21663,12214,1756,94012,6448,465,16709,39300698,31305,402460,15549,96757,374,3585,8,27360,39995,176130,9352,162669
"_C18n_QI11404",76885,1965,77574,5772,8419,50300,38628,16871,37492,5226,55431,1481715,130750,1043760,19687,92430,36853,38066,46837,41948,27100,52174,179795,53110,73317,20473,2243378,139558,8903,26540,11277,27398,1035,48510,10617,37104,761001,16397,10872,1269724,15159,1103842,15303,6304,61747,26222,10554
"_C18n_QI11982",49027,3325,4526,7255,4129,1468,4323,5984,24398,2732,9326,67348,106242,58465,26175,8298,18788,3671,41786,74263,33670,15082,149931,6809,43798,38042,20513,12674,12357,9327,9036,8595,4922,8209,27202,16206,136108,6035,33526,2357,8490,1278,4121,22390,36634,16703,48096
"_C18n_QI12484",41166,5546,15304,9764,3129,1841588,1440,7285,1198807,7149,7060,69704,35453,177594,3776,20712,8082,3130,6745,7293,3813,56849,42974,5587,7358,5377,154492,1158,6547,17308,5413,11728,313,7283,11211,10934,1394482,8249,7379,3647,9784,16251,12125,990,2482,10216,3295415
"_C18n_QI7492",168398,293154,43253,20873,529118,3377192,166159,252720,244510,6390,45036,51389,35008,3007,34535,162011,189791,44935,91325,70002,167945,8948,301357,46986,82289,182420,22806,147988,283646,164734,29000,327210,292,70232,63911,26416,35228,257371,17659,32734,87130,17913,219813,2773,58903,352237,461105
"_C18n_QI2986",182600,85907,178951,158382,950183,36391,84792,169131,522693,532,3911,2258,3702,3684,226,395,50613,180849,108093,163597,10964,24455,8059,714282,2540,14066,4439,929103,194,2840,28210,5196,1085,5683,18984,2623,414,104967,9937,7235,10309,11546,16139,1534,7497,20095,221860
"_C18n_QI11959",24796,28268,2268677,27404,135740,13575,49024,81207,121552,13754,1160665,9432,43989,114427,624782,7346,11342,26027,75418,133362,99928,5558,7598,54148,445920,218839,3156,3430,13137,38757,11748,10044,5965,11234,586412,257872,21945,524,112008,97151,19967,5404,45919,113037,39090,18542,17771
