"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_C18n_QI11357",1628905,52621,19271,54692,444679,1832016,22269,120548,2770475,69653,27945,643721,427889,793420,60689,47256,46922,48869,77768,150920,232145,87668,406627,58917,92481,295561,232773,238104,2938640,72875,96724,117386,27080,41859,451113,100540,2242861,21364,214057,56325,56674,46179,119241,127988,381474,115798,1649914
"_C18n_QI10988",360777192,12825773,5004791,1443603,13143656,25495,1096986,3316679,53973593,109947,76706,160101,322256,51390,147108,221478,380599,1163186,224024,274163,86029,107916,134678,580312,237633,133251,15751,40151339,150148,53928,127688,190216,37793,171284,46850,204756,19046,1101002,177808,35922,58101,28785,137724,62273,57715,141511,20990
"_C18n_QI9777",7898,84771,361874,66913,205645,2705462,4453,224737,13021,6013218,826003,48868,27389,67860,22705,55614,42885,5262,248055,2543,303505,51854,32159,631236,3227966,36287,148201,31525,6347,20866,7171,9478,4818,3621158,9351,164895,511849,4842,96698,289321,84724,12863936,12904,40833555,4946621,2850,3091731
"_C18n_QI7240",1173802,71441,19711,11869,90443,19070,441062,41081,238865,12616,11772,147911,3071907,28,302469,9168,26295,1055110,53121,8763,462649,13197688,272886,48325,11452,286345,14628,197010,73966,70536,86764,18258,44383,522322,28981,12210,149954,229568,32781,12167,51713,48607,2996,302,648670,356793,94583
"_C18n_QI7238",13926437,3096342,420020,183820,667156,21921,937169,333662,255443,17814,359427,86465,95135,74161,21751,20536,17450,27691163,90413,10214,19283,884843,42981,38840,9811,48383,136200,1353345,49607,45706,69936,17317,8586,20065,30748,18538,74705,867394,22773,11254,6670,95579,9437,14149,17030,30685,54159
"_C18n_QI9329",265875,232532,5171372,153458,4333760,2815509,53160,1164831,140390,9274596,2459465,58070,197718,251,96780,1112186,1315342,4807,480969,91794,366734,219216,63417,788423,3035983,270962,1827,402678,81536,123341,93054,74993,243865,2626671,40560,617609,292543,187,3437533,9722985,85017,7519884,295778,21238912,3402315,34202,3206764
"_C18n_QI2551",33520,7557,9253,20183,9244,15471,11563,7976,33532,28355,19900,35887,16534,297848,23182,22500,2232,4090,6928,2203,10966,14689,17202,15305,5771,6045,157202,4022,22871,13354,22019,6086,56980,1431,12908,3239,149021,41704,2588,6229,4846,3031,13968,15680,15899,4057,14125
"_C18n_QI8937",156132,143024,50227,74611,79966,28324,43715,96222,12056,1337,41659,1982125,103305,10782475,473020,15712,120820,44636,40229,78750,140274,29594,46480,1381945,15832,54248,233761,62755,183210,81965,102932,682364,148049,78546,1146421,49603,6250,43319,7381,41652,1276,64495,63489,348559,64761,174687,370594
"_C18n_QI9651",23824,96667,7915,13398,6405,227466,682970,87493,43553,4063709,25701,5618,7645,10956,156000,1097039,21140,7608510,6692393,124255,477408,75992,12465,1083835,2733402,895981,98088,19767,56716,490291,918046,706341,9400,1173774,248674,239982,4968,124831,26900,1012865,2576711,1606594,6221,4273494,4202205,1268755,3347
"_C18n_QI9331",120531,519455,468059,626513,811820,12887205,28553,957973,28955,16202570,2956072,6669,287026,21554,23908,90719,136563,22469,124070,162397,482603,85988,14969,107725,8765339,694277,368,106031,50651,428910,199495,205666,76364,5686562,24196,1188867,1017761,7258,1358661,508728,390360,8326473,514817,13557922,2914739,10185,1063261
