"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4039","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2072","M2084","P6005","P6009","P6012","P6013","P6017","P6018","P6028"
"RP11-6J24.6",4,10,9,22,14,9,28,25,17,6,13,16,24,16,45,17,9,20,18,16,13,24,20,43,24,23,43,31,32,14,17,27,32,27,25,29,19,13,26,17,21,23,43,25,14,12,21,9,0,22,15,27,5,33,28,38,36,18,26
"ST13P11",1,2,1,2,1,1,2,5,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,4,3,1,2,1,2,2,1,3,0,2,1,3,0,1,1,0,1,2,0,1,0,0,1,0,0,2,1,2,0,0,1,2,1,2,0
"FAM206A",864,854,777,762,1303,723,925,843,886,442,792,715,798,1108,1193,720,867,679,857,792,722,712,626,1214,1162,1121,1023,834,485,1007,863,1014,1105,1091,1243,938,951,526,831,1062,764,1098,1072,813,797,691,985,902,0,876,982,696,952,1265,714,1745,897,980,746
"RP11-122G11.1",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KB-1517D11.2",0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-252E2.2",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"TRIM64C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTB-60B18.10",4,4,3,3,3,7,1,1,3,4,0,24,3,2,4,0,0,0,1,5,0,5,9,1,5,0,5,2,7,2,4,0,5,10,2,1,0,0,3,2,1,8,7,4,3,0,2,0,0,1,2,2,1,0,2,1,2,0,4
"RP11-646J21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
"RP11-1263C18.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-617P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU1-94P",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000111.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT-CYB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-182P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GAS5-AS1",21,36,28,31,60,17,30,46,35,19,26,16,42,31,53,16,23,33,26,33,25,19,30,39,33,34,46,33,18,17,33,15,39,33,23,36,35,20,25,16,21,46,51,36,39,49,58,38,0,18,56,29,27,28,25,101,35,42,39
"RNU2-50P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-428G5.2",1,0,1,3,5,1,2,2,0,0,9,3,8,8,5,1,3,1,0,1,2,1,3,4,4,5,6,4,4,4,4,4,9,2,2,4,3,1,1,3,2,1,2,1,8,1,1,2,0,3,1,5,3,4,7,6,7,1,6
"CTA-211A9.5",103,93,75,80,175,72,115,122,56,67,104,69,154,124,269,74,131,75,113,116,62,133,105,169,170,112,218,164,157,176,90,104,122,138,107,166,82,80,110,91,89,231,195,63,118,76,74,109,0,57,63,140,101,148,68,266,177,187,254
"LINC00862",0,0,2,0,3,2,1,3,1,1,1,0,3,3,2,1,1,0,6,1,2,9,1,4,1,3,15,4,7,1,4,1,3,8,3,7,0,1,3,2,5,9,4,2,1,2,1,3,0,3,1,5,3,5,1,7,1,2,4
"RP11-494I9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA0040",1278,1265,1241,1530,3467,1150,815,1587,2021,1105,1385,1310,3588,3504,4307,979,885,917,2353,1453,901,3393,1551,3515,2602,1466,5021,3622,5170,2654,1631,2035,1382,1585,1706,3492,1287,794,1160,1582,1169,3325,2154,774,3040,887,956,1611,0,1837,1456,3493,2803,2420,684,3694,2489,2613,4930
"S100A12",110,2,0,5,4,2,0,0,13,0,0,2,16,529,6,0,0,0,120,19,1,1027,0,0,76,2,1,2,2680,179,19,30,2,11,107,5,1,23,1,253,2,24,38,2,1,3,0,2,0,102,0,6,117,11,4,2,0,5,558
"HOMER2P2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP4-672N11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-346M5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-328D5.1",0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"AP001631.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"UBE2D1",830,613,467,618,1249,754,546,689,983,414,555,667,1088,1825,1305,561,489,292,1384,751,650,1732,635,885,1247,819,1152,1390,2329,1339,711,998,660,921,1220,1355,624,591,580,877,518,1190,888,512,735,573,591,818,0,909,651,1429,1432,998,365,1464,921,1349,1626
"RP11-820K3.2",0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"RNU6-216P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC095061.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-535I24.2",0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"EIF2A",5103,5193,4518,4003,6400,3454,4461,4634,4044,2711,3446,2702,3317,4814,5385,3120,3099,3033,3950,2967,3209,3765,3282,4774,4484,4880,5341,5402,3318,4669,3225,4419,4983,5294,5241,5095,3983,2346,3187,5796,3645,5210,5108,4051,3947,3147,4812,4239,0,3723,4125,4102,4298,6278,3553,10529,4796,4982,4399
"RNU7-175P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SALL1",38,139,119,126,141,122,134,124,79,50,113,173,284,124,196,18,26,32,120,115,81,255,112,74,84,70,98,267,391,115,95,183,92,87,139,307,49,76,86,81,96,162,150,102,107,82,108,257,0,188,107,231,191,203,62,275,132,216,227
"AC009414.1",0,1,1,0,0,1,1,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,2,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,2,0,0
"RP11-519C12.1",0,6,0,1,9,1,1,4,0,1,3,3,8,3,11,3,2,0,6,6,1,2,4,5,2,5,2,7,3,4,0,3,6,1,7,9,1,2,3,3,1,10,7,3,3,5,2,1,0,1,1,0,3,4,0,7,2,1,3
"RN7SL697P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNER",4,11,8,1,18,11,12,17,1,3,7,2,48,42,12,5,5,6,27,8,5,34,8,56,23,11,167,40,111,14,73,22,5,8,6,42,7,3,2,9,3,11,19,2,12,11,3,17,0,9,9,31,28,24,6,56,17,12,79
"SOD3",20,86,90,187,226,72,104,102,67,109,142,77,601,300,500,73,15,62,467,149,85,204,288,214,197,117,151,684,435,228,231,342,92,176,202,497,50,131,57,149,44,885,565,62,233,82,48,223,0,225,116,330,328,706,93,174,211,172,1417
"CTD-2292M14.1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"LINC00658",1,3,0,2,0,3,1,4,0,1,0,1,2,2,1,0,0,3,0,2,2,0,4,10,0,1,0,5,2,1,2,0,1,3,4,3,4,0,1,2,3,1,2,2,3,4,3,4,0,3,0,1,0,0,0,2,7,2,1
"GAPDHP23",2,1,3,3,2,1,1,11,6,1,4,4,10,1,5,6,5,1,0,4,3,1,3,7,8,10,8,11,0,1,2,2,3,3,5,3,6,2,3,3,2,1,3,1,3,9,2,1,0,1,7,3,1,8,9,9,6,16,0
"AC055811.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOXB13",40,19,11,740,15,11,17,10,11,6,15,9,1,17,5,1,3,5,0,3,5,0,2,17,14,12,15,19,10,11,20,11,15,9,10,7,1,1,3,27,14,43,3,17,16,14,22,17,0,9,17,198,6,2604,43,11,25,9,72
"RP11-97C16.1",19,38,30,43,105,38,62,52,44,20,50,26,75,42,105,35,40,20,54,33,72,53,55,74,36,62,42,129,107,54,70,50,42,50,57,91,21,29,48,56,68,129,154,52,54,43,39,74,0,27,54,45,56,68,30,101,106,97,133
"RP11-1437A8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISCA1",1819,1688,1751,1735,2614,2303,1876,2004,2337,1107,1593,1294,1436,1578,2465,1575,1861,1288,1270,1517,1590,1189,1199,2344,1910,2461,1957,2087,1190,1535,2007,1882,2130,2268,2444,1954,2004,1108,1698,2319,1615,1767,1679,1928,1866,1591,2157,1833,0,1485,2007,1726,1620,2457,1642,3585,2021,2191,1489
"AGK",572,585,535,639,1049,439,473,543,599,470,564,424,971,1121,1089,523,469,421,932,682,515,814,606,986,1040,807,1336,1126,925,965,611,905,675,841,982,988,588,439,443,882,434,1027,949,423,631,466,471,752,0,807,573,1027,949,933,413,1385,750,857,1041
"XAGE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-191L9.5",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYROXD1",2688,1960,2052,2075,3174,1867,2778,1815,3102,1047,1422,1672,1464,1199,2517,1733,2502,1404,865,1804,1936,1449,1494,2455,1770,3015,1790,1782,765,1607,2188,1555,2600,2642,2437,1867,1888,1165,2241,1996,1706,1274,1242,1962,1684,1730,2624,1655,0,1156,2148,1423,914,1862,1863,4145,1751,2400,898
"AC009478.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YBX1P1",77,112,88,115,129,84,102,144,106,97,253,179,94,166,158,46,69,68,77,73,53,94,69,161,173,151,238,131,79,160,109,137,169,135,166,180,92,52,63,202,77,127,117,69,92,68,123,87,0,115,95,81,123,179,86,189,150,96,109
"COL24A1",2,117,127,120,54,74,78,173,112,16,103,41,47,117,82,26,28,15,118,153,82,175,108,6,42,3,13,47,640,16,82,132,79,75,33,92,16,72,80,26,197,74,67,91,28,70,92,53,0,96,73,16,173,47,93,279,76,106,166
"TMEM59",15947,26875,21397,23031,27706,20395,23985,25218,22900,12421,17009,15588,14372,16785,23887,18950,24690,19694,11293,17096,17097,11240,14707,29766,26178,31823,20924,19738,9599,13510,29584,21378,26845,29247,27465,19408,25417,12517,26628,27663,16211,20021,22381,25160,18970,21609,29241,25005,0,15198,22993,15865,16267,28531,23869,40971,22925,21491,11825
"CTC-281F24.1",1,4,4,4,20,0,2,3,3,3,4,4,14,8,23,4,0,1,2,3,5,5,10,28,5,1,8,27,9,8,2,3,1,0,3,19,1,3,3,0,1,13,9,0,6,1,4,3,0,0,1,15,0,3,0,3,21,22,19
"RP11-396F22.1",0,3,4,3,8,2,6,6,2,1,4,3,2,8,4,1,0,1,8,5,4,15,5,4,0,2,3,4,7,6,6,7,7,5,5,6,2,6,3,7,3,13,8,0,4,5,8,1,0,2,4,2,3,7,2,3,4,3,6
"IMPDH1P6",0,0,1,0,1,2,0,1,0,2,1,1,0,4,4,0,0,0,2,0,1,0,1,1,3,1,7,1,3,4,2,0,0,2,2,1,1,0,0,2,0,2,4,0,1,0,1,0,0,4,0,1,2,1,0,1,0,2,5
"CTC-510F12.4",35,8,1,9,2,16,8,2,2,0,1,3,20,40,17,5,2,4,34,8,0,59,15,3,7,5,3,10,91,15,2,9,5,9,5,1,2,2,5,13,3,12,12,7,2,4,5,5,0,20,5,3,4,4,5,9,2,11,35
"CTD-2521M24.8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEC4M",7,28,36,4,39,45,11,42,9,10,11,16,63,11,52,14,6,13,36,29,20,54,23,24,28,4,1,42,42,62,48,14,135,20,5,66,10,32,37,41,53,371,46,11,17,4,11,10,0,35,38,50,11,40,40,52,78,71,85
"PCF11",1485,2786,2540,2565,4734,2903,2998,3150,2897,1657,2080,1596,5014,3144,5927,2749,2667,2411,3128,3217,2820,3482,2937,4974,3642,3993,5444,5295,3721,3078,3266,3280,3391,3796,3494,5109,2913,1725,3186,2711,2785,4771,3535,2584,3897,2934,3318,2412,0,2396,2920,4239,2660,2696,2351,6774,4017,4594,4372
"GIN1",256,333,267,302,531,317,371,331,354,216,295,278,381,344,492,203,281,194,236,280,232,302,264,471,449,435,516,410,295,292,391,360,423,380,445,464,297,181,326,391,306,447,382,296,380,304,352,288,0,266,325,369,269,354,286,741,511,464,369
"OR7E55P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PLAT",840,2520,2612,2461,1454,2101,3130,1533,2224,499,2328,3011,2039,1491,2008,630,596,658,2593,2069,1858,8595,1667,328,2104,633,655,1673,785,1537,1837,3206,2334,2607,3118,2168,1465,1952,1410,3534,1902,2652,2120,1804,1223,1853,2208,3866,0,2898,2305,965,3005,1527,1941,3708,1434,1382,2267
"RP3-468K18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF705C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT18P56",0,0,1,0,0,1,0,0,1,0,2,2,0,2,1,0,0,2,0,1,0,1,0,2,1,0,0,2,0,1,2,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,1,1,0,1,0
"TUBB4BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C1DP4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"RP11-248G5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU7-180P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEFM",393,410,392,484,689,307,350,407,453,205,338,266,407,550,522,266,340,315,354,325,309,400,325,483,499,462,647,543,302,466,438,454,441,518,561,544,369,248,341,629,372,527,469,343,395,307,437,463,0,338,430,473,416,507,249,701,458,493,440
"MIR891B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNVU1-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-74M13.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-854K16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-380I10.2",0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIF1",3,9,19,23,14,2,6,12,8,0,15,2,4,2,0,5,2,15,1,4,8,7,1,3,1,2,2,1,1,0,13,3,6,14,12,23,17,4,1,4,20,1,0,5,3,6,1,0,0,1,12,1,0,3,12,24,3,6,2
"RP11-369K16.1",95,35,29,41,47,44,37,32,65,3,7,21,7,62,16,51,29,20,30,3,22,35,25,14,4,27,2,25,0,6,63,69,45,8,59,25,66,5,11,8,29,19,15,4,18,22,23,13,0,23,42,13,31,36,6,196,40,49,18
"MIR4778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGAM",237,249,187,358,968,203,184,178,188,309,223,185,2173,1133,1342,153,31,213,1153,485,223,1498,516,1306,742,236,1918,1777,2851,738,351,703,130,394,344,1878,68,210,141,482,247,1483,858,193,809,75,211,412,0,641,254,1300,723,640,171,666,893,770,2375
"RN7SL90P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-1210P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XAGE1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-642D21.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHFPL1",4,4,1,2,7,4,4,5,4,5,8,0,4,11,8,4,0,4,4,7,3,2,6,5,3,1,9,13,10,4,5,2,7,6,8,15,1,5,5,4,17,2,8,2,8,6,6,5,0,4,4,2,16,5,3,19,7,21,15
"RP11-758H6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf204",16,25,49,24,72,17,75,25,7,11,33,28,75,48,32,30,12,15,24,28,44,51,37,16,19,15,43,106,28,23,25,19,65,55,15,41,15,22,71,17,25,60,42,26,21,31,50,64,0,20,21,50,46,20,20,64,48,62,63
"HIATL1",2441,2434,1913,2395,3681,1977,2091,2600,2837,1402,2172,1903,3184,3942,3586,1751,2235,1666,3215,2224,2273,2994,2123,3360,3685,3217,4340,3497,3192,3368,2551,2998,3119,3489,3658,3663,2406,1723,2008,3017,1906,3170,2837,2357,2242,1868,2383,2547,0,2460,2375,3017,3072,3332,1869,5952,2578,3225,3796
"RNU6-19P",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"RP11-1055B8.7",99,559,584,450,439,260,644,600,407,260,550,321,537,414,713,394,531,529,462,481,455,268,530,734,556,631,304,469,493,229,688,561,848,976,433,440,426,373,417,585,327,563,514,578,400,479,565,419,0,408,546,281,352,503,353,751,436,245,470
"IFT27",388,508,391,631,669,348,639,544,430,326,425,408,612,656,871,422,383,522,577,460,376,528,538,762,746,541,704,683,491,558,616,613,597,761,571,573,491,342,514,634,386,702,893,498,471,510,419,448,0,470,464,571,435,618,349,674,552,623,543
"NRTN",9,7,6,7,7,13,11,6,13,4,6,4,11,8,9,10,9,8,11,2,2,6,10,11,7,17,11,17,2,3,11,8,6,5,9,7,10,7,4,15,5,9,20,4,5,3,6,8,0,2,7,11,6,12,5,7,6,8,8
"MIR548AN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NDUFC2",336,682,632,616,955,628,715,784,612,389,591,479,584,516,791,697,630,591,382,606,627,466,578,969,705,1069,732,737,259,567,1022,674,842,922,723,642,910,469,732,753,561,679,732,799,675,745,765,640,0,516,775,642,434,785,748,1350,705,820,358
"THNSL1",278,498,469,334,647,264,447,506,365,275,365,124,434,323,654,341,424,415,274,383,394,279,288,679,450,531,477,553,181,525,484,411,432,467,444,513,468,205,356,568,417,487,414,381,498,398,599,481,0,327,337,406,430,481,463,905,578,523,351
"CTD-2369P2.2",69,114,68,131,286,64,48,90,71,73,161,79,543,262,326,91,23,49,239,164,74,405,220,387,186,103,1587,569,270,313,244,139,91,90,130,756,74,91,92,175,110,368,325,82,261,70,99,124,0,160,118,373,263,333,78,272,296,259,456
"SDCBP2",12163,7891,7522,9620,8412,8833,10849,8649,9543,4684,7588,12261,4888,6336,8289,8732,10085,10393,2965,5785,6547,4624,8430,9584,12018,16402,7515,5631,117,8392,12044,8560,12307,11759,11686,5872,10518,6462,7044,13913,4084,5547,9194,12807,7430,6668,5163,8017,0,5784,10021,4813,2701,12743,8774,11907,6714,6443,1755
"AC073254.1",5,2,0,0,0,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,1,0,0,1,2,0,0,1,2,2,1,0,1,0,0,1,1,0,2,3,0,0,0,1,1
"RP11-458D21.6",0,1,0,0,4,2,0,2,0,1,1,1,8,1,3,1,1,2,2,0,4,0,2,15,1,3,5,6,9,1,1,2,1,2,2,5,2,0,1,1,0,7,2,0,2,3,0,2,0,8,1,1,2,7,1,8,5,6,4
