"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4039","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2072","M2084","P6005","P6009","P6012","P6013","P6017","P6018","P6028"
"AL121875.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-161H23.10",3,4,0,0,3,7,3,1,0,1,2,0,4,3,5,1,1,0,6,1,1,0,6,3,4,2,12,7,2,5,1,7,0,3,5,1,0,1,4,3,4,9,0,3,1,4,0,1,0,4,5,8,1,3,2,2,0,4,1
"DUSP15",9,8,11,22,17,8,24,18,6,8,16,13,27,20,25,6,4,12,21,9,14,9,13,30,26,10,19,35,22,16,11,13,22,19,20,22,7,9,4,20,9,33,41,6,11,5,13,10,0,12,17,14,15,13,7,12,24,24,26
"CTA-445C9.14",31,35,27,50,91,29,43,52,30,25,36,44,102,78,95,39,39,45,56,69,43,36,57,97,43,49,132,116,62,67,52,56,58,53,66,95,35,28,37,44,26,107,94,25,52,32,54,60,0,50,32,79,43,78,33,106,84,75,113
"RP5-859M6.1",0,1,0,0,2,0,0,1,0,0,1,0,1,4,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0,2,0,0,2,1,1,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,2,0
"RN7SL670P",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTC13",425,574,533,570,1065,526,594,637,539,308,520,445,1169,704,1582,412,417,408,749,601,718,838,816,837,759,725,971,1178,1012,778,635,786,812,707,840,1138,426,410,509,708,653,1165,987,476,615,505,554,763,0,808,537,823,721,808,458,1735,1024,1149,1258
"RN7SL628P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGBP1-AS1",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FAM203B",0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,0,0,0,1,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,14,12,0,2,0,0,1,0,0,0,25,18,0,0,0,0,0,0,2,0,0,0,0
"AC073869.10",0,0,1,0,1,1,1,1,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"RP11-679B19.2",0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3
"ZFPM1",161,117,101,96,135,133,143,168,101,98,98,106,208,207,189,146,144,204,235,123,97,69,193,283,313,254,213,222,56,166,177,233,170,226,152,179,116,71,59,234,73,231,269,166,109,97,126,78,0,164,144,122,182,167,100,144,106,39,126
"RP11-361M10.3",0,0,2,0,0,0,3,3,1,0,0,3,4,1,2,1,0,3,1,2,1,2,5,4,3,3,0,5,4,2,4,2,1,1,3,3,0,2,1,0,3,4,4,1,3,2,2,0,0,4,1,3,1,0,2,5,5,3,4
"TEKT5",0,1,1,4,2,1,1,2,0,3,2,0,7,5,13,1,3,1,2,1,1,3,2,1,1,10,2,9,2,5,3,7,6,6,2,6,0,0,1,1,2,1,7,5,1,0,2,14,0,0,0,0,2,4,3,15,1,3,5
"RBMX2P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-393K10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2015B23.2",12,25,21,23,18,8,19,16,17,12,13,13,19,25,25,11,6,15,27,19,1,13,5,13,38,30,18,9,26,19,31,27,24,28,17,32,11,16,8,22,16,39,11,20,23,40,17,27,0,21,22,13,25,20,7,12,20,15,21
"RNA5SP137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-351I24.1",6,0,1,0,2,1,3,2,3,2,2,1,1,1,2,4,0,2,2,3,1,1,1,4,4,4,1,0,9,1,0,1,1,1,2,4,0,3,1,3,2,5,3,2,1,1,0,2,0,1,0,3,2,7,1,0,4,0,6
"SYNE1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,1
"MAL",6,28,25,72,136,29,16,34,26,59,113,19,231,171,335,17,3,31,117,85,43,104,82,138,100,38,83,352,214,189,116,112,54,109,23,122,25,29,23,104,33,456,411,28,154,48,24,43,0,60,25,247,59,199,17,164,333,146,486
"MIR4494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC012671.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-904P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MICALL1",904,625,534,616,798,578,702,681,751,350,607,659,898,1196,1069,570,546,505,1011,551,555,820,848,1113,1331,972,1008,898,860,899,815,858,783,1016,1098,806,768,450,505,1124,493,1167,1070,683,673,490,688,688,0,802,781,707,980,1034,512,1245,662,516,1123
"KDM2A",3360,4846,4140,4970,8131,4076,4825,5181,4511,2813,3737,3550,8930,6583,10203,4264,4409,4067,5346,5070,4408,6366,5402,8658,6947,6959,8158,8451,7763,5694,5873,5744,6084,6217,6825,7443,4711,3503,4856,5550,3732,9244,6575,4708,6730,4383,5077,4518,0,4841,5087,6959,5125,6311,4137,10200,6793,6832,8678
"INSL3",1,2,0,2,17,1,0,2,0,6,6,0,34,34,17,3,2,3,14,4,1,5,4,12,3,7,7,26,15,7,7,12,1,5,7,16,1,6,6,1,2,35,17,0,8,3,2,4,0,1,5,11,1,13,1,17,26,9,12
"ZNF849P",0,0,0,2,0,1,2,2,1,2,1,2,1,0,3,0,2,2,5,1,1,0,0,3,2,0,7,1,1,3,1,3,0,0,1,1,1,0,2,0,0,0,0,3,0,2,0,0,0,0,1,0,1,2,0,1,4,0,6
"AC098592.6",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RNA5SP77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N4BP1",2097,2254,2110,2095,3429,2150,2163,2290,2164,1300,1637,1422,2917,3293,3558,1896,2345,1811,2284,2205,1891,2516,2023,3363,3154,3566,3186,2957,5041,2241,2512,2715,2890,2910,3314,2965,2188,1458,2453,2537,1971,3538,2784,2191,2713,2149,2565,2433,0,2065,2605,2649,3153,2895,1975,4816,2689,3059,3315
"FAM35EP",0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
"MIRLET7G",0,2,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,3,1
"RP11-593P24.2",2,1,1,2,7,0,1,2,1,1,3,3,0,0,3,1,5,0,1,1,0,0,0,3,3,2,0,1,0,1,3,0,2,4,4,3,0,1,2,0,3,1,5,1,5,4,3,2,0,1,1,0,0,3,1,3,6,0,1
"CTB-113P19.1",0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"RP11-501J20.3",0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"CLNS1A",1954,3159,2514,2673,4205,1742,2703,3051,2578,2086,2558,1844,3605,3655,4352,2046,2663,2154,2941,2656,2158,2410,2396,4320,3932,3531,5420,4522,2466,3467,2873,3237,3456,3554,3949,4083,2784,1697,2484,3956,2117,4080,4402,2407,3173,2328,2994,2996,0,2657,2502,4108,3256,4500,2511,6166,3812,3646,3496
"RN7SKP191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RPS4XP3",14,23,19,19,29,17,26,25,11,32,55,27,14,36,26,8,11,11,21,10,12,9,14,38,31,22,29,32,26,27,19,23,21,33,21,36,14,14,10,38,17,29,33,14,22,3,11,14,0,21,13,30,17,20,26,25,25,13,16
"RP11-701P16.2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LUZPP1",0,0,2,1,0,0,2,0,2,0,2,2,3,0,2,1,2,2,2,5,2,0,2,0,1,0,4,0,2,0,3,4,0,1,0,3,4,2,1,0,1,3,3,1,1,2,0,0,0,0,0,0,8,0,0,7,2,1,0
"INPP4B",942,1160,1297,1246,2232,981,1443,1387,1530,905,947,913,1541,1623,2461,1203,1065,908,965,1715,1014,1148,1127,1682,1686,1664,1407,2121,1120,1387,1469,1523,1308,1723,2154,1676,1171,953,1239,1353,1412,1868,1087,1311,1841,1405,1506,1554,0,1469,1395,1826,1431,1177,1116,2535,2089,2785,1494
"LCA5",32,152,124,127,229,71,95,118,92,61,119,72,195,159,205,48,38,42,143,175,65,115,92,89,125,59,120,283,189,144,96,156,97,99,116,228,55,83,65,72,141,289,140,97,165,116,149,109,0,144,101,176,206,156,59,320,158,220,271
"ACTL6A",2219,2122,1812,1912,3016,1595,1886,2138,1880,1433,1639,1228,2275,2620,2809,1294,1695,1549,2301,1832,1683,2146,1464,2630,2713,2700,3858,2541,1579,3173,1675,2519,2550,2695,2736,2927,2272,1218,1397,3388,1629,2472,2455,1753,1953,1567,1940,2301,0,2179,2035,2240,2490,2887,1595,4427,2152,2330,2327
"HMMR",589,829,622,661,1394,407,652,464,380,630,377,272,1010,1256,797,499,487,478,1297,668,483,605,532,924,1225,577,3305,1023,599,2010,516,1174,824,1060,954,1641,487,193,446,1345,425,624,587,425,445,469,362,287,0,1290,501,931,1059,733,381,1256,631,884,909
