"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_C8p_QI13225",NA,NA,NA,NA,NA,NA,NA,8949,NA,49866,NA,NA,NA,49436,NA,NA,38467,NA,NA,NA,NA,12333,18034,NA,210,NA,NA,NA,NA,NA,NA,NA,8129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI13981",NA,NA,NA,NA,NA,NA,NA,771,NA,10414,NA,NA,NA,12670,NA,NA,8160,26,NA,NA,477,4321,9130,NA,NA,NA,NA,NA,NA,NA,NA,NA,7569,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILn_QI10465",NA,NA,NA,1821,NA,4863295,NA,NA,NA,53270,4118,NA,2784,15910,1894,105,10546,50294,13892325,405584,NA,466,3625,389,431722,7421327,13719,4348,1912,12299,4016586,2045,NA,NA,1551,8652742,1932,4636509,NA,269,9855,NA
"_HILp_QI19795",NA,NA,40618,NA,NA,NA,NA,NA,NA,NA,NA,4405,NA,2047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11494,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,687,NA,NA,NA,NA,8320
"_HILn_QI5523",NA,11060,4270,NA,67878,8781,14798,14585,66615,NA,2144,NA,42625,180,28271,203,NA,23360,20464,3696,29446,2639,NA,54121,NA,18721,42458,27589,NA,NA,323414,NA,NA,8938,NA,21937,NA,1401,1139,37613,9160,49897
"_HILp_QI3164",298,NA,2075,411,258,NA,3032,480,2599,NA,1052,NA,812,1368,936,498,110,671,426,648,34091,874,2039,409,NA,675,842,2043,275,574,647,309,285,NA,401,519,1086,127,1983,1387,14400,382
"_HILn_QI31579",NA,7419,7867,9970,17837,NA,NA,3061,678,36896,3880,4271,25759,5490,27483,14005,155100,2238,22216,54363,10154,3731,23130,170973,684,5766,NA,134942,34703,44601,NA,198905,127,616,14314,30183,8,32396,13269,31687,20269,NA
"_HILp_QI14501",3308493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12852,NA,NA,NA,134117,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI19306",NA,NA,NA,NA,NA,NA,NA,NA,NA,14983,NA,NA,NA,5120,NA,NA,6935,NA,NA,NA,NA,1438,5438,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILn_QI12714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,6309,NA,NA,NA,2391,NA,NA,NA,NA,NA,NA,NA,NA,887,NA,1520,NA,NA,NA,1327,708,1306
"_HILp_QI4827",93059,338541,208836,350354,304868,341525,177543,210025,306330,1342203,199303,335609,579100,216021,353534,404186,199341,1525073,321104,656098,36452,413937,71051,218100,158854,661522,186396,532203,751747,2457698,208292,188911,121077,157890,163848,451762,3456403,663084,661580,266709,1196367,427021
"_HILp_QI22528",20157,NA,694,NA,1220,NA,186915,2910,5698,NA,NA,115307,3433,2388,NA,NA,6840,NA,NA,1125,NA,NA,NA,441,85233,835,31,NA,1130,NA,NA,NA,NA,NA,74,NA,NA,NA,1390,NA,NA,NA
"_HILp_QI7893",19478,6115,5570,7822,8897,56340,NA,6781,7648,15296,63123,19230,45948,31474,NA,NA,21081,NA,29921,8692,3988,10078,15936,2838,13128,10982,14003,9270,1000,953,32491,16772,19084,25203,753,12638,NA,8890,16433,28345,NA,82204
"_C18n_QI8999",237530,66560,52593,18862,147029,149565,65382,11757,46460,17364,162154,650263,132451,3460,7317,20205,8252,2877,189184,41738,40274,141706,20405,32148,597463,30097,86839,13877,214944,687,8463,24770,321568,354484,NA,1138,8858,1988,151849,354541,18420,363462
"_HILp_QI18601",NA,NA,NA,NA,955,NA,72772,NA,NA,NA,44,1199,NA,NA,NA,NA,NA,2044,995483,NA,NA,5068,NA,NA,NA,NA,1932,NA,NA,NA,NA,NA,NA,NA,1711,112988,NA,NA,1176,NA,NA,16036
"_C8p_QI20896",378,3534,97400,NA,3608,1600,2225,4172,5115,28980,NA,3548,107726,4264,3301,11156,10383,NA,24145,NA,8493,622,10775,5718,61473,4916,71603,NA,NA,31915,NA,NA,6805,17602,NA,NA,3535,NA,16672,5166,NA,6873
"_HILp_QI12121",410414,86769,14641,4283,334354,NA,9379,39360,161378,NA,NA,NA,NA,NA,NA,280041,NA,NA,NA,NA,NA,1933203,NA,NA,4553,NA,NA,NA,NA,NA,NA,NA,NA,114069,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI19525",NA,6569,130165,NA,NA,NA,NA,NA,20297,NA,5157,769,NA,NA,205,NA,NA,1050,900,NA,24943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279597,61881,NA,NA,21188,NA,NA,NA,NA
