"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"3-hydroxydecanoate_C18n_TF2",NA,297950,484960,228230,1217135,971641,345837,250692,935471,339877,1301497,2868437,523436,364734,132588,345832,167382,98911,528522,1189174,742167,883612,437364,327321,418195,196726,472922,641390,NA,619674,609076,172987,431911,486398,917309,413298,633861,96439,620263,1735358,173434,563951
"dodecanoate_C18n_QI15",629163,75896,292541,6868778,372125,192548,602183,21795727,1297191,249029,4309010,4156334,396556,44357834,179681,187425,381300,353381,274243,298465,807035,273011,195720,229192,1844044,1086832,791650,312912,297453,14848107,62747054,281327,641279,906129,1448494,36950069,79814,29144057,358663,294819,795038,1886417
"undecanedionate_C18n_QI16",242964,336149,229104,376326,217065,171306,249267,558027,168342,488429,369110,127863,239001,76130,85288,120851,108672,457997,91411,79227,86190,135695,136335,294324,65587,131911,164401,95632,193634,500045,240967,92135,10857,163582,103454,416119,661801,1334637,237738,299373,182809,95492
"myristoleate_C18n_QI17",108071,41681,121146,217503,92240,49121,27090,6364,57313,64034,128260,616448,52545,69707,17916,40645,32856,19158,33576,46078,134854,101516,36574,31640,275350,18634,109444,401552,32355,28627,68469,22256,528840,52067,392094,18685,6379,25698,42470,81482,28494,68883
"myristate_C18n_QI18",8588841,2991451,3001394,12045448,3534241,1498564,1597132,12371584,1872534,4609191,8027318,15275503,4751314,37420549,2399423,1527501,6082280,2563726,2263771,4559993,8903869,3451995,2092638,2297655,24337920,8148635,7508625,4624232,3044979,6567112,44608492,2045408,8339342,8316865,3845547,21693976,613537,19213222,3788190,2957355,2393709,5095863
"dodecanedioate_C18n_TF3",3807369,6427919,6133583,15025708,291927,14288661,4311241,25368935,4896148,10144751,17444319,5708208,3728625,1370567,NA,1710432,1089833,1592284,5352696,1360773,2609612,2048822,1205548,4069407,2981915,5913227,7924790,1203809,13265858,19940937,4744599,3867348,1507754,3890912,5788371,21723532,16290519,18397771,184588,7108868,5473268,3283626
"pentadecanoate_C18n_TF4",47145351,79455828,91643928,182912318,17472068,153969785,32227071,124738093,10339612,170565907,41342864,103818386,175171566,81522800,84570689,11614490,49284591,158078255,17702125,146984839,60869358,216452730,44665950,20652042,206933822,59513939,48288044,73308209,195698394,28896275,71024716,29290388,65020197,47469498,58746631,118543948,20913123,122926657,24593636,14638417,20073657,26913464
"hydroxymyristate_C18n_QI19",23043,4068,11513,324467,11653,49733,8686,142218,15569,38419,108062,746,6727,46242,52570,11684,6651,247084,7523,71828,3927,183264,8540,4052,11677,7337,5472,68539,19293,178275,165460,65891,11535,5941,147575,92322,31362,283110,125708,4171,160807,45344
"palmitoleate_C18n_QI20",13747420,5803145,15250288,15401871,13789105,39436454,4240282,8796511,2300882,3873602,29127120,22645249,7331956,7614810,7645286,7360531,4735118,2760923,5564874,11038697,5875762,5644832,13587669,4253426,12010521,7015904,6978782,10006148,15124313,4301545,3723173,6103508,22774335,4349693,5603997,3874837,738113,7050169,13700342,15123720,10849916,7177192
"palmitate_C18n_QI21",33199514,31796740,18155397,60549571,24307401,52065416,31121347,49384872,11426437,58962818,66906899,92006394,46232433,64676970,20482529,7398687,39843083,28080597,34092780,46172593,44717766,36031245,19676979,31628651,243737254,71248480,37594006,14271136,77074643,12212464,58067679,19233505,131744171,96031939,20353388,33275734,15815202,29909164,49380357,16048909,20582979,43672852
"tetradecanedioate_C18n_QI22",18435,29944,31892,58226,50692,57706,31047,58059,30798,88754,31705,63387,32393,28191,38546,13898,28129,24441,35261,19856,42492,17901,32307,39957,43319,47625,80594,14721,141819,106234,34419,29506,46750,36443,60090,16844,48663,16251,76095,56432,30921,50955
"10-heptadecenoate_C18n_QI23",751224,525053,1215447,4385257,10959539,1493730,605415,384391,605204,686019,5419560,1957591,1207831,856638,519215,421043,842366,293549,780770,563725,620054,802510,788098,739821,2253587,1315081,774452,1264448,491095,429963,549145,609176,7441344,562844,1026020,996576,114971,1055151,4306923,3382356,329346,1358943
"2-hydroxyhexadecanoate_C18n_QI25",614119,286964,316115,15996963,1950377,5145682,391319,15896760,808299,1374359,10955830,1124983,474197,2288508,2668611,588025,383192,13984958,651709,4773172,72029,22280528,270346,343795,1225091,573845,324611,2320068,485290,5614715,18225014,3784716,1192762,307770,7788343,6748366,2878424,10004617,5090023,240766,11887754,323557
"alpha-linolenate_C18n_QI26",13678957,14333440,7165428,5003209,71054912,15023380,9298151,13492983,15560001,6271661,124817834,11626042,6002752,28843177,2441024,6584704,8281981,3648737,15274982,3695998,13275495,4187352,12133683,19308852,76374524,23949767,13411810,10518286,3801847,6404890,10411444,11377497,33612846,11980533,10296631,9656912,2298860,5794335,101311895,35653550,6101732,54050277
"linoleate_C18n_QI27",76270547,100448581,55240756,111685284,247896947,79526583,127884802,133464730,51979331,95968950,396924136,271996704,83583242,125303031,23983687,37380173,76025952,36158640,138440109,34785766,92654578,60208391,84029334,157029098,354740031,244726012,131371060,79710077,71345980,75519781,57178334,172051523,294230555,176593743,82677411,75437580,33178745,88006471,431145959,214774552,54660420,212946434
"oleate_C18n_QI28",178336550,87418525,94219857,244955677,181960264,192908773,131104362,186688492,83078959,152136723,322801610,309942310,101529253,117806711,38434538,21575166,80682721,31446893,136898134,118559199,84219219,56476737,91230492,99804806,271738464,176408696,84361635,64777139,167889747,61429745,60105092,100785889,400231186,189076845,98305202,100118181,46610073,155859154,300977131,195103977,62571348,158343184
"stearate_C18n_QI29",5815615,7679098,3212993,13623336,3357442,8527128,8685872,17665561,1880194,26749056,11030532,57925658,18792479,3890572,3706058,764954,10626963,1465784,15445189,8415879,5878340,12583008,1950783,4362602,156526268,28482715,2432566,1034447,55130619,558647,15242300,1991032,76066921,20733487,1270468,13797765,11165654,4512798,13701775,3050673,3193085,13261116
"hexadecanedioate_C18n_QI30",24244,44273,32475,59688,67290,49394,117359,202694,49966,239830,9765,99042,56059,71791,60805,40145,38806,37608,59308,91191,50914,65791,43824,100980,57234,79405,87250,30778,285766,56009,66180,41142,29317,80165,88390,129999,96342,85011,158548,56444,47568,72133
"10-nonadecenoate_C18n_QI31",1339571,312355,315175,1191957,702614,2642326,743327,346763,1556048,390145,3196802,3508691,666919,403878,126764,194076,309760,120484,599101,757983,403163,545513,641852,323317,3421607,473762,476766,701758,247223,145345,237343,348851,6931962,876968,1970268,396716,81874,429231,950553,949188,336105,939867
"nonadecanoate_C18n_QI32",55917,92553,41595,96332,25052,95298,99631,80419,19799,493559,98164,652368,159089,36405,12672,5713,79914,7459,92772,65209,26914,111563,22705,38000,1615499,190732,31631,7968,417227,1712,46793,22315,757501,120126,29502,63610,120109,20171,160401,21138,20523,95595
"17-methylstearate_C18n_QI33",54148,33935,24791,105483,20803,65644,235148,37455,34382,79851,58574,146381,46594,19650,8350,6291,49573,7136,37383,72603,24538,48783,14602,9533,377384,42247,22834,11944,104381,1820,11845,9080,550015,72463,10447,25530,20997,20227,40837,12417,15982,25163
"eicosapentaenoate_C18n_QI34",8750922,789118,861955,350156,1451798,78389429,416760,478851,133166504,156555,3310865,14557013,676893,949209,264791,1001995,926886,366939,357243,762380,745840,3801135,249212,755778,1996967,751034,1052121,736020,500369,253395,434812,513927,4764205,1676635,30925860,139389,93733,282469,479173,1757637,1560170,1712248
"arachidonate_C18n_QI35",45398177,11011964,10984512,7307917,10988762,87226115,8519373,6781623,56431560,2820794,45935450,330524750,48343783,3606969,5416099,13618227,3359497,4629659,8380722,25913615,17171667,74097115,5008945,12253985,95400422,10211820,27429888,5893525,26240783,6433492,11301948,7228245,33272988,31888589,51259165,2007554,561910,2263568,9821671,36495156,18209607,49630014
"eicosatrienoate_C18n_QI36",44142500,14787068,7651065,8145075,7302880,12854176,6632892,1599364,11014896,848102,54741948,73187524,52245394,3636815,5348718,7115737,1759949,1421474,8726688,46251471,12651960,21651016,17715336,7308748,22715602,5559541,11771044,4640431,7003141,954663,3900088,4872041,13423935,9152866,16271009,1284374,273026,1980418,5813918,21680404,16240147,20180630
"eicosadienoate_C18n_QI37",7170888,1679983,1005701,3586597,1273438,13612182,2368049,1268444,3859825,836728,7895008,26327081,8317519,2172871,969435,593068,1162852,832456,1559755,20617042,1376792,2116397,2521959,2372957,7404361,3855358,4395905,1329853,3543535,501148,1098449,1350623,7323295,3548062,2409857,863210,120767,1420947,1851075,3501606,3499525,4382736
"eicosenoate_C18n_QI38",5617014,2553817,822085,12054616,2749382,8582140,2034225,3585886,4546672,3383913,13189154,14934754,3851833,1769658,998073,683346,4418951,630967,1794643,9007225,874431,1605221,2107174,1393992,10608168,9998781,1721355,647483,6221997,325101,1416119,826464,22086752,3655928,2759723,2148172,784578,4598065,5501185,5116263,1095721,3191431
"arachidate_C18n_QI39",336553,553869,203768,1176093,337975,149677,1412365,1279702,52018,3369028,884367,3104112,1090884,288986,162486,52836,933310,72173,865081,174730,159553,874653,276798,433078,6948944,1455388,212445,63653,5604496,20988,639073,198406,2767083,640104,44615,699016,1573722,242356,1702917,222605,101388,1468529
"phytanate_C18n_QI40",1015003,128504,176736,555704,79540,142682,259832,93467,488469,409284,304850,18732,98003,92157,45506,16850,264064,28526,84006,85381,72477,46851,97210,10896,46702,142933,115222,92984,208262,67981,33374,48974,175459,214398,714413,171276,52175,206245,120109,420829,136213,25103
"docosahexaenoate_C18n_QI41",44414084,2220427,2876132,1093802,6342771,87195296,2894955,1875560,122424509,397373,18455088,87084460,4605660,984520,1406603,4532947,634787,717329,6090292,5456959,2174261,15760132,825702,1553369,20385809,1318291,6248701,1154330,3458042,728636,1182362,2179910,16920843,9886103,85175769,244823,185878,575473,3507754,25308611,5587198,10128972
"docosapentaenoate_C18n_QI42",62792208,6394460,4884284,2518348,3338600,28744516,5875080,1343317,38684129,281402,22233468,68003542,21927204,758171,4505359,2848952,873774,1081668,4713771,69693093,5976944,11646697,9142087,2176829,10284431,1630477,5071465,3156908,2117122,715846,1323358,3210561,6242543,3379087,64067900,286405,44634,319727,953142,12630124,18619145,8945860
"adrenate_C18n_QI43",11504432,4019479,2602765,3517479,4285942,7896317,6059183,1463914,7162542,417779,9846703,95363388,28962351,1459003,2311484,3288431,1909297,1411602,1626027,67742901,5004059,15806938,5507351,4554298,28126417,4490186,8221113,2370866,4872928,842922,3363388,1785540,5951014,4688079,5030429,721415,62925,628492,1280634,8199298,8163185,19784054
"13-docosenoate_C18n_QI44",1683305,393615,229888,1943167,618815,6376371,293748,493590,3242539,2075286,898505,3281462,727086,580927,129010,98998,443153,92271,130639,1055433,46140,611814,228235,82719,785137,1256856,288505,91942,1770829,237844,487685,315502,1174515,186531,1640814,215189,165634,1701531,530072,423274,113219,938956
"eicosanedioate_C18n_QI45",7133,9101,8326,20774,5522,5634,18741,36015,6423,71738,10001,5417,6933,25774,47476,10297,15397,21248,8325,9577,8921,32604,3446,9341,9016,29587,9865,7155,31737,24844,5478,14695,5388,10331,17751,15033,4255,38774,8295,10584,6584,624
"oleanate_C18n_QI46",3111141,3839299,9246451,8058631,19668506,13523478,5804622,4075656,129446,38564626,39927805,27137,508678,641191,3399716,575561,1333693,1372755,26974600,1080357,121868,193335,14715088,9615445,48107,12639668,1552756,1522701,2181645,5964269,75881,5221707,5922196,23982,12530276,8023491,462498,13999535,53521900,22578109,245073,10708974
"masilinate_C18n_QI47",435858,4881057,1449554,7055874,2746514,5791510,146701,1226414,239716,7261329,1115514,15190,63406,269220,118412,107072,291618,133616,246778,67072,15916,254317,3614356,533383,8400,133962,324160,148196,199357,3799967,110862,1761726,1142998,7247,9168430,548796,192885,5697932,11274337,5640659,23645,891322
"lithocholate_C18n_QI48",261748,43056623,34653787,36385061,28583129,45145696,18723500,17650535,26180712,43389415,113303246,35350,35769576,37301495,22804605,13166886,23675766,35183359,31496478,26285108,148114,18399387,39731178,24086434,154781,40962706,31627549,27537137,22990002,30988169,26161724,19873424,964803,30620594,42654480,26211930,4230120,35322769,27363838,60987625,21469648,2521873
"chenodeoxycholate_C18n_QI49",51864401,2459111,9171707,2787529,6053195,27317513,1028702,2775896,16157746,1972635,23256172,4672447,2016908,2295819,3966392,354156,3208013,6093246,8097595,4261293,33071416,1438083,2652578,15696568,1063132,19173514,15774574,10619962,1224706,6922594,17097928,2308324,36414287,500523,11893571,1909758,1667694,3454451,1286484,15070164,881063,44467485
"deoxycholate_C18n_QI50",5918071,72384476,108135150,80687343,72023514,224115617,59876146,28812766,46559749,97595139,356995452,894558,127206442,84622191,92505418,17705815,73596053,83852403,90973810,86322504,29764039,44809207,95659127,54377601,333700,123835481,115405372,85715689,84403985,67292000,84365294,71029957,56879704,71108514,144546905,79602916,7279655,88348898,57898446,151692024,52375143,35440637
"hyodeoxycholate/ursodeoxycholate_C18n_QI51",13841954,3577177,9531132,3686507,3394160,25009663,1200816,1619412,1842601,3886721,20099583,2123,5408971,2217627,7190775,681979,7141681,5447119,8192064,30778327,19397017,2187332,6373676,6438858,723,8392678,15601806,8763389,2170223,12433655,8531285,4139548,4462838,261979,13026359,4019523,228011,6394314,2846299,16228736,1251120,8309571
"ketodeoxycholate_C18n_QI52",150157475,1118340,7253275,1172695,1846420,22456121,473170,741673,2715976,852254,6391245,1035477,2047540,402068,847343,348577,746167,1257249,4650990,1021779,29454569,876145,593957,1823723,15993,3097910,9836890,3134043,469634,889458,6925103,631124,10536426,474183,1458861,967439,838331,1021296,629062,2231609,568705,5508926
"alpha-muricholate_C18n_QI53",14609349,1445040,6620396,858276,409905,17984608,970607,13374,806177,107171,10582231,896,5106327,16894,306310,760088,66567,3453200,8760352,897919,48138378,51476,28482,1332389,NA,2786604,4671852,3239866,340224,433061,1968647,2627412,3094577,1047424,3563570,388821,456177,296514,349834,3958424,1245273,18926369
"cholate_C18n_QI54",126038845,6778454,16522393,4833075,15627109,107860590,1701105,1265732,33439488,3501927,84451905,21827800,6030757,2777938,5770471,2082258,2462711,12160826,10709140,8954952,115553180,5376743,5291493,20024430,5567102,55026332,27334358,18386001,2542781,4503036,38061827,6717526,142427335,3052516,20895304,3732149,2111883,6730019,1717184,13084613,2795576,98396402
"glycolithocholate_C18n_QI55",15615,334521,260586,111279,175114,196999,33663,35667,279646,633351,408477,12076,131962,168512,746766,51638,132926,3321071,85959,362036,19234,361977,89074,63015,7168,659086,92921,255158,25660,1845211,151354,68105,23189,3141,498924,129088,129515,348167,26426,422443,525008,8476
"glycochenodeoxycholate_C18n_QI56",2065069,837398,6563488,1941201,27871309,1441180,370144,437312,7978802,846725,2178941,271852655,1233247,605941,808158,600154,1041778,3637333,1165715,2570269,10648762,1294365,1221705,1782479,207219944,11530156,1907001,8102408,114219,1805199,6739554,607642,1442111,613100,2235170,2032751,138158,432044,1048464,13882694,596902,9416821
"glycodeoxycholate_C18n_QI57",128859,1263662,5625212,1690934,15630003,1055102,299716,212924,1964488,1658404,6696599,14846690,535558,887015,2928108,417139,530175,6244285,462680,535401,1033878,675183,433089,203025,3691619,16644248,1213149,9356826,108045,3145441,3070257,806770,849694,339337,3770834,2262216,218801,1592612,302949,7122728,876076,1045644
"glycoursodeoxycholate_C18n_QI58",571287,29854,664270,303858,1753560,68692,17358,NA,133241,37012,93055,9640351,100730,6654,43626,28180,17721,857751,176642,293181,1669191,13379,11789,101177,3719055,1114304,43764,288885,9858,46555,211649,133292,133354,8943,282342,138716,5477,164301,53288,1145551,30022,285524
"glycocholate_C18n_QI59",3185254,511451,5781576,1349876,58702078,2725341,322033,203570,7627977,500685,1254570,203582299,2344589,146750,659820,728643,152871,1939132,900259,451944,10967681,292609,560367,943548,265406538,35245395,1343338,6790840,1433587,684909,2905998,834458,3937777,859324,731771,2278276,126325,305324,2449748,13087304,313066,5466465
"taurolithocholate_C18n_QI60",149155,324187,206918,134192,768866,347666,1242537,408956,1333219,113162,302997,88055,931007,92416,279510,788253,305516,259408,1723783,14428849,110939,2834047,163690,1235476,67671,971489,1002500,250346,21399,1693694,781475,92608,134339,311052,1005425,166776,164544,225119,37873,2216150,1362364,1901282
"taurochenodeoxycholate_C18n_QI61",11545333,468211,3679571,1147597,30526437,500791,224420,420292,33915016,31839,343114,176179566,2504371,246668,430843,432532,412891,230150,1089391,1792499,40369372,672715,444558,2777732,141343066,8833251,440811,24899178,23401,659035,7675431,369493,4596269,706174,343812,757848,197999,178942,1720010,5619616,408906,490363929
"taurodeoxycholate_C18n_QI62",73292,779352,2088011,572964,12198706,958208,1256228,332332,8634042,67746,895998,6854666,2204627,293192,716154,572271,297857,403477,2907886,19933860,3083001,1524965,190525,1203687,1584252,9910534,1291941,13520646,27580,1793254,2980805,396035,1884622,637175,1884581,628033,129067,1031396,320462,4506997,1114070,77106777
"taurohyodeoxycholate/tauroursodeoxycholate_C18n_QI63",2757540,43276,262168,177361,929427,109595,70828,67048,1538522,24431,19043,3221164,186293,102560,231019,781240,387545,123301,355645,4114855,11491135,241888,133643,289581,1362967,407013,122964,657619,889,187866,478207,50799,612511,175655,135388,83632,145744,51185,139603,607483,200507,21001230
"tauro-alpha-muricholate/tauro-beta-muricholate_C18n_QI64",687969,473,1237,15995,77835,60917,4770,1266,363511,NA,13277,203122,16189,696,11891,21776,5073,4072,371709,111920,2478584,12455,27,21155,161789,291626,4855,21912,NA,12513,59835,1154,427960,30547,357,113,9096,NA,9291,31407,1634,5885558
"taurocholate_C18n_QI65",71890765,461119,2557378,746536,57017149,4853886,283126,374892,70992672,118399,438338,142924683,3196713,499498,312207,606630,268042,224989,552574,2804055,28820998,1066544,557884,961039,173847262,19203876,487280,8851895,48569,422958,3407022,693372,21189027,842247,190861,694876,101282,728661,2602949,4458812,560956,622614169
"salicylate_C18n_QI66",95183,260013,93534,334427,215338,99314,40731,92173,273096,40153,42834,119039,32454,18358,18430,447011,28413,20681,30420,14450,26081,82639,16567,35765,44884,24769,44243,60237,87606,27144,111497,32509,31935,168069,28135,32301,164736,33117,27125,244650,13673,389470
"theophylline_C18n_TF5",NA,1350656,3526520,4622915,NA,531662,NA,195295,2275959,1236803,2572331,NA,2387532,13475309,NA,69212,272049,NA,1310911,459946,503223,182919,409173,1091032,NA,1055417,7542859,3547607,5774611,589171,3537719,4250198,2367190,2565180,4211090,104720,5843640,NA,10199382,190790,763824,2119744
"saccharin_C18n_QI67",12144,34569787,51128,3471298,247870,904629,50914,24328,46835,50180,91368,41540319,28725,13669,21878,896,136628,14959,248712,536562,123389,23444,5125,143690,197349,7541733,992392,23398,31063,450427,400212,58319,1542,2378,2182,17682,131919,1395,95174,287266,5468,12593
"azelate_C18n_QI68",867622,2485093,977355,2679413,1399044,1015813,1654284,3954415,911838,3646101,1533283,1972932,1274105,989237,641634,1713604,1090800,1432827,462858,439068,703263,3684777,993445,1600395,2661714,1040735,1008967,948861,978519,1538105,1706200,997082,425953,1170343,936680,4758377,5288425,27975676,1222559,1816626,1114336,1009312
"sebacate_C18n_QI69",199539,882731,147731,1016516,1399483,136578,286370,1459529,352202,1354284,496983,165455,200308,256684,294571,275265,249741,432236,146935,69322,254513,428685,308086,353235,153303,293029,398273,396039,229807,699716,473160,174655,32930,488021,163118,1282520,1130768,2882069,358070,1397826,238246,125410
"2-hydroxyibuprofen_C18n_TF6",NA,2956677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56395,NA,NA,NA,NA,NA,NA,NA,NA,NA,6511,NA,NA,NA,NA,NA,NA,18327,NA,969990,NA,NA,NA,4009737,NA,NA,NA,22983,NA,1053656
"carboxyibuprofen_C18n_QI70",437,1813572,304,54,549,567,461,459,30,1952,1766,752,4483,303,8,NA,101,NA,155,NA,1296,408,818,177,597,1858,546,113,5749,6042,1752,237408,NA,3341,35,104927,196,NA,753,1860,418,62767
"hydrochlorothiazide_C18n_QI71",NA,NA,NA,4427965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"furosemide_C18n_TF7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cetrizine_C18n_QI72",NA,2150,262,1268,NA,213,NA,NA,NA,443,NA,1664,NA,NA,NA,NA,NA,250144,NA,NA,NA,32,NA,3689280,1179,NA,NA,NA,1029,NA,NA,NA,10347,162,140,NA,81422,678,1343403,NA,108,41
"olmesartan_C18n_QI73",1830,696,1849,1924,2552,6290,1205,988,6818,869,251,3967,1196,2624,3485,4626,7925,2158,5722,11308,1544,3493,3011,1917,2738,3130,181,3646,1856,4925,1019,1404,1006,6474,1831,1208,418,4643,89,1716,11086,782
"1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate_C18n_QI74",2475,145792,23137,36502,46955,72,186563,96666,31015,2819,630,334542,NA,667,4336,29102,6735,136891,569,8066,NA,11173,610,937,454138,9496,353,5662,1641,46322,8716,30140,85426,138356,6135,5296,150840,59821,1913,3916,1205,5963
"4-hydroxystyrene_C18n_QI77",12501,2102680,740426,28352,1611670,4142608,20046,15675,830288,114820,2141377,290689,1732520,882551,270763,1484958,20964,240275,993142,65612,350220,172533,1149310,2928265,223660,2292716,2798468,341727,92319,39542,1892434,1504151,339676,787966,37936,29374,155543,23711,8079646,5820576,520877,534345
"acetytyrosine_C18n_QI78",511626,107846,57279,75430,167649,150251,72718,52129,59064,188350,27230,21579,68415,72552,51261,708906,34830,69121,26595,243800,83357,47824,71345,70336,131246,85049,63692,39135,88593,48137,53332,42571,220246,56118,46305,90097,293842,68750,122030,62768,61028,46237
"alpha-CEHC_C18n_QI79",3219,2597,8839,3891,7155,20561,15790,2070,13766,5910,4337,2680,10139,4074,6869,1763,4382,32673,5046,NA,2967,2103,2623,15040,1846,9046,20836,5194,15122,3903,7993,7498,1852,9823,32349,3398,10095,1195,30642,49103,13707,9269
"carnosol_C18n_QI80",782250,221817,NA,234660,NA,13587,57622,16584,11336,4266,5246,87341,NA,124644,528047,119647,2194510,478915,126453,NA,289252,NA,40305,12649679,98733,450,93011,358324,37194,79826,223317,1612467,127259,489413,716159,38856,21840,1348411,34060,1265381,4593,366053
"carnosol_isomer_C18n_QI4788",1348,1146,NA,1041,NA,63,NA,NA,NA,NA,NA,569,NA,NA,2869,201,7731,4834,84,NA,NA,NA,NA,59458,1241,NA,145,2377,NA,1772,949,15440,984,NA,2541,NA,NA,10062,NA,9413,NA,392
"crustecdysone_C18n_QI81",375023,NA,8774,474,NA,512,NA,NA,4341,240,64167,3668,25025,98,NA,NA,323,1258,NA,389,NA,NA,250,NA,NA,NA,13161,531,NA,213,NA,652,NA,NA,247,205,9250,550,NA,NA,682,NA
"oxypurinol_C18n_QI83",409867,2272815,123620,915929,1256883,259511,249087,413504,240439,3743032,889134,3086515,867048,129415,835926,461252,388036,1562461,691538,1123760,296021,1829305,56232,132041,9302514,2281565,638966,349823,2450810,1135053,127732,696250,102636,533026,266542,1770527,3428388,971396,880664,855435,943501,76423
"palmitoylethanolamide_C18n_QI84",518070,689247,35640,50678,35277,59957,269439,5320,48342,39529,555461,236113,93652,29620,106720,59422,92104,28997,49100,855845,126777,42253,39119,23556,231069,93570,183200,73723,13237,50069,99268,27151,99994,191390,90584,15523,39358,16215,31208,313107,62797,79520
"phenyllactate_C18n_QI85",790031,14743075,5277616,341092,11487127,36132229,174188,142129,6289877,1419663,16220061,3521230,13025375,6248708,2547118,11339432,167826,3173485,7367118,3169707,4417049,2576046,8591660,19983242,2818124,15945980,20767584,2388413,1487203,537284,13177322,10586318,4190660,7331584,346695,271763,1561051,267870,55727515,38418487,4435351,5153862
"p-hydroxyphenylacetate_C18n_QI86",1805731,173595,319922,103596,705318,782875,183370,141611,208662,170131,396399,281204,168811,133732,64599,206666,100429,56928,1115908,69664,502208,111010,116575,386195,71337,210722,287008,92418,172910,151672,210321,100418,94818,517015,118265,169259,375207,71846,659656,1514830,671707,381712
"porphobilinogen_C18n_TF8",1042083,4772966,7134310,2062692,NA,1933742,2634528,2814639,2236264,10996218,1822857,20963663,11210411,3008874,2753370,1294558,3244215,2388927,2478691,5697048,824344,1499552,2284622,4720294,38143706,2673228,1201114,1292275,24373039,2317045,10365248,2797623,16006218,NA,6329164,2775265,5023957,2369325,15155151,1508970,2135135,875231
"urobilin_C18n_QI88",1189,625432,272158,57107828,180575,1844396,365,2524619,315493,29014360,198980,7987,1654991,104699,133078,1521261,12632257,1419782,20794181,683,570,4509211,8107091,84691,132,14228685,5618296,23339317,5442298,15540454,28453546,6061539,NA,13763175,403904,32336577,37428109,45005319,11098535,13058414,7820667,25729
"nervonic acid_C18n_QI89",1000557,104956,27745,385084,61763,1114569,215849,208612,74229,804550,566321,2863640,445800,51479,65493,39593,48246,230168,147655,741031,43606,328879,73749,63599,555559,181989,142524,82383,730079,29985,418617,108341,684676,164409,105182,179962,237579,67824,306813,154629,130911,413350
"acesulfame_C18n_QI90",3715061,96900,NA,NA,NA,NA,NA,NA,1681331,NA,419,NA,11261,140511,3504,33384,25461,NA,442,NA,NA,13389,NA,1211,1237338,1402022,306600,2547,NA,325837,75675,626949,NA,NA,NA,NA,NA,NA,494282,NA,NA,6379661
"oxymetazoline_C18n_QI91",271,35238,7547,1277969,4992,1052,NA,9565,105,623257,940,129,7898,2607,10151,116783,166452,142789,23040,NA,NA,396139,39884,1579,NA,211175,68615,466254,141465,260375,171377,14640,NA,212262,2651,145795,1144569,415576,17137,24038,178963,NA
"13-cis-retinoic acid_C18n_QI92",NA,133,2221,NA,2327,3604,NA,NA,6022,181,NA,NA,NA,2689,97,612,3054,110,NA,NA,896,NA,560,2417,NA,1308,986,662,NA,NA,NA,4190,NA,944,NA,432,126,600,220,7229,NA,778
"_C18n_QI2555",45284,24010,31042,54639,30656,37441,46404,29188,21892,84996,110474,91286,35052,90637,29485,23323,15010,13648,80255,23435,68147,21451,44845,44295,95356,21830,31088,15182,234542,14443,33202,15326,87915,55023,23170,37042,24335,22561,52173,19548,8774,79032
"_HILn_QI30633",NA,51,6,NA,NA,NA,34,21,10,57,NA,NA,NA,17,10,NA,NA,NA,NA,NA,47,14,122,14,NA,81,NA,17,154,NA,NA,NA,218,52,22,19,10,NA,76,7552,12,17
"_HILp_QI24019",NA,247,48661,NA,NA,NA,NA,NA,1130,NA,95,1158,785,NA,3168,NA,NA,572,NA,NA,29238,NA,NA,NA,15983,NA,NA,NA,NA,NA,NA,NA,NA,NA,7153,NA,NA,NA,NA,NA,995,NA
"_C8p_QI17325",150,NA,NA,NA,1375,NA,174,NA,29,NA,NA,NA,6,108,458,11684,115,224710,11,NA,885,2540,28,5247,NA,3452,1150,1076,NA,2222,NA,1080,169,2671,NA,NA,NA,206,NA,54,7345,NA
"_C8p_QI14734",NA,NA,NA,NA,NA,NA,NA,11880,NA,6185,NA,2623,NA,8547,NA,NA,23188,NA,NA,4459,NA,10236,10802,1416,NA,NA,NA,143,NA,NA,NA,NA,11066,NA,NA,NA,NA,274,NA,NA,NA,265
"_C18n_QI1505",1313580,307938,110298,198712,64313,59075,755928,145476,405490,97412,675347,163314,38281,96252,72976,1609555,96969,3226451,37196,27535,113434,66203,20585,1289821,437265,200352,348183,148349,122381,1532854,811744,399863,280944,11583,895944,1531957,119147,1095851,272062,476839,260531,27044
